,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
241,Cam Newton,Alvin Kamara,Kareem Hunt,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Marvin Jones,Denver Broncos,153.526,49500
242,Jared Goff,Adrian Peterson,Nick Chubb,Michael Thomas,Courtland Sutton,Kenny Golladay,David Njoku,Todd Gurley,Denver Broncos,153.49400000000003,49900
243,Jared Goff,Alvin Kamara,Nick Chubb,Adam Thielen,Tre'Quan Smith,Marvin Jones,David Njoku,Travis Kelce,Denver Broncos,153.44400000000002,49700
244,Patrick Mahomes,Adrian Peterson,Nick Chubb,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Todd Gurley,Denver Broncos,153.43600000000004,49700
245,Cam Newton,Alvin Kamara,Kareem Hunt,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,153.376,49800
246,Jared Goff,Alvin Kamara,Nick Chubb,Michael Thomas,Tre'Quan Smith,Kenny Golladay,David Njoku,Kareem Hunt,Denver Broncos,153.33400000000003,49700
247,Patrick Mahomes,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Sammy Watkins,David Njoku,Travis Kelce,Denver Broncos,153.216,49500
248,Jared Goff,Adrian Peterson,Nick Chubb,Michael Thomas,Tre'Quan Smith,Marvin Jones,David Njoku,Todd Gurley,Denver Broncos,153.21400000000003,50000
249,Jared Goff,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Tre'Quan Smith,Kenny Golladay,Travis Kelce,Sammy Watkins,Denver Broncos,153.17400000000004,49600
250,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Marvin Jones,David Njoku,Kareem Hunt,Denver Broncos,153.13400000000004,49900
251,Cam Newton,Nick Chubb,Todd Gurley,Courtland Sutton,Adam Thielen,Tre'Quan Smith,David Njoku,Kenny Golladay,Denver Broncos,153.116,50000
252,Jared Goff,Adrian Peterson,Nick Chubb,Courtland Sutton,Adam Thielen,Tre'Quan Smith,David Njoku,Todd Gurley,Denver Broncos,153.06400000000005,49900
253,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Emmanuel Sanders,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,153.05400000000003,50000
254,Cam Newton,Adrian Peterson,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,153.00600000000003,49600
255,Jared Goff,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Marvin Jones,Sammy Watkins,David Njoku,Travis Kelce,Denver Broncos,152.99400000000003,49800
256,Jared Goff,Alvin Kamara,Kareem Hunt,Michael Thomas,Courtland Sutton,Kenny Golladay,David Njoku,Sammy Watkins,Denver Broncos,152.99400000000003,49800
257,Patrick Mahomes,Alvin Kamara,Kareem Hunt,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,152.93600000000004,49600
258,Cam Newton,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Travis Kelce,Denver Broncos,152.826,49800
259,Cam Newton,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Kenny Golladay,David Njoku,Marvin Jones,Denver Broncos,152.816,49800
260,Jared Goff,Adrian Peterson,Nick Chubb,Michael Thomas,Courtland Sutton,Marvin Jones,David Njoku,Todd Gurley,Denver Broncos,152.76400000000004,49700
261,Jared Goff,Alvin Kamara,Kareem Hunt,Michael Thomas,Tre'Quan Smith,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,152.71400000000003,49900
262,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Kenny Golladay,Chicago Bears,152.704,49900
263,Jared Goff,Adrian Peterson,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Sammy Watkins,David Njoku,Todd Gurley,Denver Broncos,152.61400000000003,50000
264,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Emmanuel Sanders,David Njoku,Sammy Watkins,Denver Broncos,152.60400000000004,49700
