,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
105,Darrell Henderson,RB,3400,1.35,2518.5185185185182,67,68,0.0,0.0,9999.0
106,Qadree Ollison,RB,3000,1.18,2542.372881355933,71,69,0.0,0.0,9999.0
107,Devontae Booker,RB,3000,1.1,2727.272727272727,72,70,0.0,0.0,9999.0
108,Jamize Olawale,RB,3000,1.08,2777.777777777777,73,71,0.0,0.0,9999.0
109,Kenjon Barner,RB,3000,1.06,2830.1886792452833,74,72,0.0,0.0,9999.0
110,Reggie Bonnafon,RB,3900,1.33,2932.330827067669,68,73,0.0,0.0,9999.0
111,Alex Armah,RB,3000,1.02,2941.1764705882347,75,74,0.0,0.0,9999.0
112,Wayne Gallman,RB,4700,1.51,3112.582781456953,65,75,0.0,0.01,9999.0
40,DeAndre Washington,RB,4000,14.72,271.7391304347826,18,1,18.6,86.41,215.05376344086017
41,Joe Mixon,RB,6600,18.87,349.7615262321145,5,2,9.3,13.92,709.6774193548387
42,Melvin Gordon,RB,5600,15.88,352.64483627204027,11,3,22.7,21.61,246.69603524229078
43,Austin Ekeler,RB,6100,16.490000000000002,369.92116434202535,10,4,11.9,4.01,512.6050420168067
44,Patrick Laird,RB,4600,12.21,376.7403767403767,22,5,2.8,0.53,1642.857142857143
45,Adrian Peterson,RB,5000,13.19,379.0750568612585,21,6,13.5,14.84,370.3703703703704
46,Chris Carson,RB,8500,22.38,379.8033958891868,2,7,7.0,3.16,1214.2857142857142
47,Devonta Freeman,RB,6000,15.74,381.19440914866584,13,8,33.7,29.19,178.04154302670625
48,Leonard Fournette,RB,7200,18.8,382.9787234042553,6,9,13.5,3.06,533.3333333333334
49,Miles Sanders,RB,6400,16.64,384.6153846153846,9,10,26.6,1.55,240.6015037593985
50,Phillip Lindsay,RB,5300,13.71,386.5791393143691,19,11,22.8,5.03,232.45614035087718
51,Le'Veon Bell,RB,5800,14.74,393.48710990502036,17,12,13.3,0.86,436.09022556390977
52,Ezekiel Elliott,RB,7900,19.84,398.1854838709677,4,13,15.4,4.1,512.987012987013
53,Saquon Barkley,RB,8300,20.72,400.5791505791506,3,14,46.9,2.91,176.97228144989342
54,Kenyan Drake,RB,6300,15.490000000000002,406.71400903808905,15,15,36.4,0.75,173.0769230769231
55,Alvin Kamara,RB,7500,18.33,409.1653027823242,7,16,29.0,4.24,258.62068965517244
56,Christian McCaffrey,RB,10100,24.54000000000001,411.5729421352893,1,17,35.3,9.34,286.1189801699717
57,Jalen Richard,RB,3500,8.410000000000002,416.17122473246127,27,18,6.9,0.15,507.2463768115942
58,James Conner,RB,6500,15.58,417.201540436457,14,19,3.2,0.3,2031.25
59,Royce Freeman,RB,4000,9.57,417.9728317659352,24,20,11.7,0.13,341.88034188034186
60,Mark Ingram,RB,6800,15.86,428.7515762925599,12,21,17.1,2.13,397.66081871345034
61,Marlon Mack,RB,6200,13.69,452.88531775018265,20,22,18.1,3.03,342.54143646408835
62,Nick Chubb,RB,6900,15.230000000000002,453.053184504268,16,23,4.5,0.89,1533.333333333333
63,Chris Thompson,RB,3700,8.16,453.4313725490196,28,24,9.2,0.04,402.1739130434783
64,Derrick Henry,RB,7700,16.84,457.24465558194777,8,25,0.0,0.02,9999.0
