,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
111,Devante Parker,WR,5200,14.53,357.88024776324835,14,4,15.1,15.78,344.3708609271523
112,Demaryius Thomas,WR,3800,10.0,380.0,29,5,4.2,3.42,904.7619047619047
113,Odell Beckham Jr.,WR,7000,18.299999999999994,382.5136612021859,4,6,20.4,32.82,343.13725490196083
114,Alshon Jeffery,WR,4900,12.760000000000002,384.01253918495286,24,7,0.0,0.14,9999.0
115,Chris Godwin,WR,7200,18.29,393.65773646801534,5,8,40.4,2.77,178.21782178217822
116,D.J. Chark,WR,6400,15.960000000000004,401.00250626566407,8,9,10.8,5.99,592.5925925925926
117,D.J. Moore,WR,6400,15.720000000000002,407.12468193384217,11,10,34.4,5.08,186.046511627907
118,Calvin Ridley,WR,6500,15.9,408.8050314465409,9,11,22.0,19.81,295.45454545454544
119,Golden Tate,WR,5700,13.920000000000002,409.4827586206896,18,12,12.3,0.9,463.4146341463414
120,Julian Edelman,WR,6900,16.59,415.9132007233274,7,13,17.3,4.8,398.84393063583815
121,Amari Cooper,WR,6600,15.75,419.0476190476191,10,14,0.0,0.5,9999.0
122,Jarvis Landry,WR,6300,14.93,421.9691895512391,12,15,39.8,4.64,158.29145728643218
123,Jamison Crowder,WR,6200,14.55,426.1168384879725,13,16,3.8,4.85,1631.578947368421
124,Michael Gallup,WR,5900,13.58,434.4624447717232,20,17,9.5,0.79,621.0526315789474
125,Courtland Sutton,WR,6200,14.02,442.2253922967189,17,18,3.7,0.36,1675.6756756756754
126,Tyrell Williams,WR,5900,13.3,443.6090225563908,21,19,3.8,2.28,1552.6315789473686
127,Cole Beasley,WR,4400,9.88,445.3441295546559,31,20,19.6,0.47,224.48979591836726
128,Tyler Lockett,WR,7600,17.02,446.53349001175087,6,21,4.8,0.94,1583.3333333333335
129,Allen Robinson,WR,6500,14.51,447.9669193659546,15,22,28.1,1.65,231.3167259786477
130,Corey Davis,WR,4300,9.54,450.7337526205452,32,23,4.9,0.19,877.5510204081633
131,Tyler Boyd,WR,5000,11.05,452.4886877828054,26,24,23.1,1.79,216.45021645021646
132,Russell Gage,WR,3900,8.58,454.54545454545456,42,25,15.6,12.05,250.0
133,Terry McLaurin,WR,6000,13.14,456.6210045662101,22,26,12.2,0.46,491.80327868852464
134,Allen Hurns,WR,3300,7.210000000000001,457.6976421636615,47,27,14.2,2.39,232.39436619718307
135,Chris Conley,WR,4100,8.9,460.6741573033708,39,28,8.9,3.68,460.6741573033708
136,Dede Westbrook,WR,4600,9.89,465.11627906976736,30,29,14.9,1.25,308.7248322147651
137,James Washington,WR,5000,10.660000000000002,469.0431519699812,27,30,18.8,1.87,265.9574468085106
138,John Brown,WR,6700,14.27,469.5164681149265,16,31,11.9,0.44,563.0252100840337
139,Taylor Gabriel,WR,4200,8.920000000000002,470.8520179372196,37,32,2.9,4.34,1448.2758620689654
140,Alex Erickson,WR,4000,8.38,477.326968973747,43,33,6.3,0.06,634.9206349206348
141,Kenny Golladay,WR,6600,13.67,482.80907095830287,19,34,10.1,1.17,653.4653465346535
