,Unnamed: 0,Unnamed: 0.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
126,126,126,QB,Trace McSorley (16006140) (LOCKED),Trace McSorley,16006140.0,QB,4100.0,Final,BAL,4.65
127,127,127,QB,Geno Smith (16006137) (LOCKED),Geno Smith,16006137.0,QB,4100.0,Final,SEA,1.12
128,128,128,WR,Michael Gallup (16006424) (LOCKED),Michael Gallup,16006424.0,WR/FLEX,4100.0,Final,DAL,11.36
129,129,129,QB,Steven Montez (16006153) (LOCKED),Steven Montez,16006153.0,QB,4000.0,Final,WAS,0.0
130,130,130,QB,Taylor Heinicke (16006154) (LOCKED),Taylor Heinicke,16006154.0,QB,4000.0,Final,WAS,11.68
131,131,131,QB,Kyle Allen (16006155) (LOCKED),Kyle Allen,16006155.0,QB,4000.0,Final,WAS,11.75
132,132,132,RB,Rodney Smith (16006338) (LOCKED),Rodney Smith,16006338.0,RB/FLEX,4000.0,Final,CAR,4.18
133,133,133,RB,Trenton Cannon (16006340) (LOCKED),Trenton Cannon,16006340.0,RB/FLEX,4000.0,Final,CAR,0.72
134,134,134,RB,Reggie Bonnafon (16006342) (LOCKED),Reggie Bonnafon,16006342.0,RB/FLEX,4000.0,Final,CAR,8.35
135,135,135,RB,Alex Armah (16006344) (LOCKED),Alex Armah,16006344.0,RB/FLEX,4000.0,Final,CAR,0.64
136,136,136,RB,Mike Warren (16006346) (LOCKED),Mike Warren,16006346.0,RB/FLEX,4000.0,Final,WAS,0.0
137,137,137,RB,Lamar Miller (16006348) (LOCKED),Lamar Miller,16006348.0,RB/FLEX,4000.0,Final,WAS,2.6
138,138,138,RB,Bryce Love (16006350) (LOCKED),Bryce Love,16006350.0,RB/FLEX,4000.0,Final,WAS,0.0
139,139,139,QB,Josh Dobbs (16006151) (LOCKED),Josh Dobbs,16006151.0,QB,4000.0,Final,PIT,0.0
140,140,140,QB,Jacob Eason (16006152) (LOCKED),Jacob Eason,16006152.0,QB,4000.0,Final,IND,0.0
141,141,141,RB,Jaylen Samuels (16006328) (LOCKED),Jaylen Samuels,16006328.0,RB/FLEX,4000.0,Final,PIT,1.82
142,142,142,RB,Trey Edmunds (16006330) (LOCKED),Trey Edmunds,16006330.0,RB/FLEX,4000.0,Final,PIT,0.0
143,143,143,RB,Derek Watt (16006332) (LOCKED),Derek Watt,16006332.0,RB/FLEX,4000.0,Final,PIT,0.0
144,144,144,RB,Jordan Wilkins (16006334) (LOCKED),Jordan Wilkins,16006334.0,RB/FLEX,4000.0,Final,IND,4.72
145,145,145,RB,Marlon Mack (16006336) (LOCKED),Marlon Mack,16006336.0,RB/FLEX,4000.0,Final,IND,8.6
146,146,146,RB,Darwin Thompson (16006316) (LOCKED),Darwin Thompson,16006316.0,RB/FLEX,4000.0,Final,KC,1.05
147,147,147,RB,Anthony Sherman (16006318) (LOCKED),Anthony Sherman,16006318.0,RB/FLEX,4000.0,Final,KC,1.28
148,148,148,RB,Brian Hill (16006320) (LOCKED),Brian Hill,16006320.0,RB/FLEX,4000.0,Final,ATL,5.32
149,149,149,RB,Ito Smith (16006322) (LOCKED),Ito Smith,16006322.0,RB/FLEX,4000.0,Final,ATL,4.21
150,150,150,RB,Qadree Ollison (16006324) (LOCKED),Qadree Ollison,16006324.0,RB/FLEX,4000.0,Final,ATL,0.3
151,151,151,RB,Keith Smith (16006326) (LOCKED),Keith Smith,16006326.0,RB/FLEX,4000.0,Final,ATL,1.26
152,152,152,QB,Easton Stick (16006150) (LOCKED),Easton Stick,16006150.0,QB,4000.0,Final,LAC,-0.04
153,153,153,RB,Kalen Ballage (16006306) (LOCKED),Kalen Ballage,16006306.0,RB/FLEX,4000.0,Final,LAC,8.43
154,154,154,RB,Joshua Kelley (16006308) (LOCKED),Joshua Kelley,16006308.0,RB/FLEX,4000.0,Final,LAC,6.4
155,155,155,RB,Justin Jackson (16006310) (LOCKED),Justin Jackson,16006310.0,RB/FLEX,4000.0,Final,LAC,7.41
156,156,156,RB,Gabe Nabers (16006312) (LOCKED),Gabe Nabers,16006312.0,RB/FLEX,4000.0,Final,LAC,1.7
157,157,157,RB,Royce Freeman (16006314) (LOCKED),Royce Freeman,16006314.0,RB/FLEX,4000.0,Final,DEN,3.39
158,158,158,WR,Tyron Johnson (16006428) (LOCKED),Tyron Johnson,16006428.0,WR/FLEX,4000.0,Final,LAC,7.4
159,159,159,QB,James Morgan (16006149) (LOCKED),James Morgan,16006149.0,QB,4000.0,Final,NYJ,0.0
160,160,160,RB,Josh Adams (16006298) (LOCKED),Josh Adams,16006298.0,RB/FLEX,4000.0,Final,NYJ,3.24
161,161,161,RB,La'Mical Perine (16006300) (LOCKED),La'Mical Perine,16006300.0,RB/FLEX,4000.0,Final,NYJ,5.25
162,162,162,RB,D'Ernest Johnson (16006302) (LOCKED),D'Ernest Johnson,16006302.0,RB/FLEX,4000.0,Final,CLE,1.62
163,163,163,RB,Andy Janovich (16006304) (LOCKED),Andy Janovich,16006304.0,RB/FLEX,4000.0,Final,CLE,0.53
164,164,164,QB,Clayton Thorson (16006147) (LOCKED),Clayton Thorson,16006147.0,QB,4000.0,Final,NYG,0.0
165,165,165,QB,Joe Webb III (16006148) (LOCKED),Joe Webb,16006148.0,QB,4000.0,Final,NYG,0.0
166,166,166,RB,Justice Hill (16006286) (LOCKED),Justice Hill,16006286.0,RB/FLEX,4000.0,Final,BAL,1.09
167,167,167,RB,Patrick Ricard (16006288) (LOCKED),Patrick Ricard,16006288.0,RB/FLEX,4000.0,Final,BAL,2.04
168,168,168,RB,Dion Lewis (16006290) (LOCKED),Dion Lewis,16006290.0,RB/FLEX,4000.0,Final,NYG,3.9
169,169,169,RB,Alfred Morris (16006292) (LOCKED),Alfred Morris,16006292.0,RB/FLEX,4000.0,Final,NYG,4.94
170,170,170,RB,Saquon Barkley (16006294) (LOCKED),Saquon Barkley,16006294.0,RB/FLEX,4000.0,Final,NYG,7.7
171,171,171,RB,Eli Penny (16006296) (LOCKED),Eli Penny,16006296.0,RB/FLEX,4000.0,Final,NYG,0.61
172,172,172,DST,Ravens  (16006812) (LOCKED),Ravens,16006812.0,DST,4000.0,Final,BAL,8.67
173,173,173,QB,Joe Burrow (16006145) (LOCKED),Joe Burrow,16006145.0,QB,4000.0,Final,CIN,19.77
174,174,174,QB,Josh McCown (16006146) (LOCKED),Josh McCown,16006146.0,QB,4000.0,Final,HOU,0.0
175,175,175,RB,Samaje Perine (16006236) (LOCKED),Samaje Perine,16006236.0,RB/FLEX,4000.0,Final,CIN,5.05
176,176,176,RB,Trayveon Williams (16006276) (LOCKED),Trayveon Williams,16006276.0,RB/FLEX,4000.0,Final,CIN,2.8
