,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
49,Cameron Brate,TB,30.0,8.7,20.5,276.0,92.1,192.5,2.5,0.9,1.6,0.0,0.1,0.0,39.6,14.2,28.7,draft,2021,TE
50,Darren Fells,DET,26.0,12.4,18.2,280.0,128.1,188.5,3.0,1.0,1.6,0.0,0.1,0.0,46.0,18.7,28.3,draft,2021,TE
51,Foster Moreau,LV,16.1,12.0,13.9,172.7,131.9,152.1,4.0,1.1,2.1,0.0,0.1,0.1,37.7,19.6,28.0,draft,2021,TE
52,Albert Okwuegbunam,DEN,23.0,7.7,16.6,249.0,75.2,174.1,2.0,0.6,1.4,0.1,0.1,0.1,36.9,11.0,25.6,draft,2021,TE
53,Adam Shaheen,MIA,17.0,16.0,16.6,185.0,145.4,164.5,3.0,1.0,1.9,1.0,1.0,1.0,34.3,23.7,25.5,draft,2021,TE
54,Ryan Izzo,HOU,24.0,0.8,12.4,411.0,8.7,209.9,2.0,0.0,1.0,1.0,1.0,1.0,53.1,1.3,25.0,draft,2021,TE
55,Pat Freiermuth,PIT,49.0,4.6,19.9,396.0,43.8,179.7,3.0,0.4,1.3,0.1,1.0,0.5,57.6,6.7,24.9,draft,2021,TE
56,Hunter Long,MIA,30.0,8.1,19.1,269.0,83.6,176.3,2.0,0.5,1.3,0.1,1.0,0.5,38.9,11.3,24.1,draft,2021,TE
57,Ian Thomas,CAR,34.0,7.6,18.0,272.0,67.9,159.2,3.0,0.4,1.3,0.0,0.1,0.0,45.2,9.2,23.5,draft,2021,TE
58,Kahale Warring,HOU,24.0,12.0,15.9,236.0,123.3,163.7,1.1,1.0,1.0,0.0,0.1,0.1,29.6,18.3,22.5,draft,2021,TE
59,Ryan Griffin,NYJ,28.0,3.9,14.2,260.0,40.6,138.0,3.0,0.3,1.4,0.0,0.1,0.0,44.0,6.0,22.0,draft,2021,TE
60,Marcedes Lewis,GB,21.0,7.7,11.9,211.0,81.8,128.6,3.0,0.8,1.4,0.0,0.0,0.0,39.1,13.5,21.4,draft,2021,TE
61,Jacob Harris,LAR,13.0,12.2,12.6,188.0,125.7,156.8,1.0,0.8,0.9,0.0,0.1,0.0,24.8,17.3,21.1,draft,2021,TE
62,Chris Manhertz,JAC,31.0,2.9,15.5,266.0,29.9,153.2,2.0,0.2,1.0,0.0,0.1,0.0,35.1,4.4,21.0,draft,2021,TE
63,Pharaoh Brown,HOU,16.1,12.0,13.4,168.3,129.2,143.5,1.4,0.9,1.1,0.0,0.1,0.0,25.0,18.1,20.8,draft,2021,TE
64,Noah Gray,KC,23.0,4.3,14.4,243.0,45.7,148.2,2.0,0.5,1.2,0.0,1.0,0.5,36.3,7.3,20.7,draft,2021,TE
65,Matt Sokol,LAC,13.0,13.0,13.0,141.0,141.0,141.0,1.0,1.0,1.0,0.0,0.0,0.0,20.1,20.1,20.1,draft,2021,TE
66,Reggie Gilliam,BUF,11.0,11.0,11.0,78.0,78.0,78.0,2.0,2.0,2.0,0.0,0.0,0.0,19.8,19.8,19.8,draft,2021,TE
67,Tyler Kroft,NYJ,23.0,1.2,11.0,214.0,12.1,111.3,4.0,0.2,1.4,0.0,0.0,0.0,45.4,1.9,19.4,draft,2021,TE
68,Darrell Daniels,ARI,15.0,11.5,12.7,165.0,118.8,135.2,1.0,1.0,1.0,0.1,0.1,0.1,22.5,17.6,19.3,draft,2021,TE
69,Jace Sternberger,GB,18.0,7.3,11.8,157.0,75.2,114.4,2.0,0.7,1.2,0.0,0.0,0.0,27.7,11.9,18.9,draft,2021,TE
70,Thaddeus Moss,CIN,13.0,13.0,13.0,122.0,122.0,122.0,1.0,1.0,1.0,0.0,0.0,0.0,18.2,18.2,18.2,draft,2021,TE
71,Nick Vannett,NO,13.0,8.6,11.0,149.0,90.5,118.6,1.0,0.8,0.9,0.1,0.1,0.1,20.9,13.8,17.2,draft,2021,TE
72,Hunter Bryant,DET,12.0,8.8,10.4,159.0,86.5,122.8,1.0,0.6,0.8,0.0,0.0,0.0,21.9,12.3,17.2,draft,2021,TE
73,Devin Asiasi,NE,27.0,0.7,10.4,305.0,7.0,117.1,3.0,0.0,1.1,0.0,1.0,0.5,48.5,1.1,17.1,draft,2021,TE
74,Ross Dwelley,SF,17.0,7.1,11.5,177.0,75.5,118.4,1.0,0.6,0.9,0.0,0.1,0.0,23.7,11.1,16.9,draft,2021,TE
75,Brycen Hopkins,LAR,16.2,8.0,12.4,167.6,82.0,126.5,1.1,0.0,0.7,0.0,0.1,0.1,23.1,8.2,16.7,draft,2021,TE
