,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
90,Demarcus Robinson,KC,44.0,29.4,34.5,502.0,355.7,411.2,4.0,2.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,74.2,51.0,59.0,draft,2021,WR
91,D'Wayne Eskridge,SEA,37.4,28.0,33.0,460.1,352.0,404.3,3.1,3.0,3.0,2.2,0.0,0.7,11.0,0.0,3.7,0.1,0.0,0.0,0.2,0.2,0.2,63.8,53.2,58.8,draft,2021,WR
92,Zach Pascal,IND,44.0,16.0,28.0,636.0,214.5,385.3,6.0,1.6,3.1,1.0,0.0,0.3,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,100.4,31.1,57.4,draft,2021,WR
93,Jalen Guyton,LAC,33.0,21.3,27.4,588.0,315.3,420.6,3.0,1.8,2.3,4.0,0.0,2.0,21.1,0.0,7.9,0.2,0.0,0.1,0.0,0.1,0.1,76.8,43.3,56.7,draft,2021,WR
94,Anthony Miller,CHI,50.9,20.9,35.6,591.4,243.0,405.1,3.8,1.4,2.4,4.5,0.0,2.9,24.0,0.0,15.9,0.2,0.0,0.1,0.3,0.3,0.3,84.5,34.9,56.5,draft,2021,WR
95,Josh Palmer,LAC,36.0,24.1,30.0,542.0,293.4,417.7,3.0,2.0,2.5,2.0,0.0,1.0,12.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,73.4,41.0,55.3,draft,2021,WR
96,KJ Hamler,DEN,41.0,24.1,30.2,488.0,282.3,361.8,4.0,1.6,2.4,15.0,0.0,8.9,76.5,0.0,43.9,0.3,0.0,0.2,0.2,1.0,0.6,79.2,42.6,54.5,draft,2021,WR
97,Kendrick Bourne,NE,39.0,26.8,31.7,488.0,343.3,401.5,3.0,1.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,66.8,44.1,53.4,draft,2021,WR
98,Tim Patrick,DEN,50.0,13.0,28.7,650.0,185.0,375.9,5.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,95.0,24.5,51.3,draft,2021,WR
99,Olamide Zaccheaus,ATL,34.0,15.0,27.0,565.0,224.0,395.0,3.0,1.0,1.9,1.0,0.0,0.3,5.4,0.0,1.4,0.0,0.0,0.0,0.0,0.2,0.1,74.5,28.4,51.1,draft,2021,WR
100,Kadarius Toney,NYG,47.4,21.0,29.9,559.4,255.0,357.1,2.8,1.1,1.9,8.2,0.0,4.4,49.5,0.0,28.2,0.4,0.0,0.1,0.3,0.3,0.3,79.0,32.0,50.3,draft,2021,WR
101,Preston Williams,MIA,46.0,15.0,24.5,625.0,184.2,315.8,7.0,1.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.6,104.5,26.2,48.0,draft,2021,WR
102,Marquez Callaway,NO,35.6,21.5,29.4,445.4,273.3,355.9,2.6,1.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,59.2,37.1,47.9,draft,2021,WR
103,Nico Collins,HOU,39.6,7.0,27.5,542.4,86.0,366.8,3.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,72.0,8.6,47.8,draft,2021,WR
104,Tyron Johnson,LAC,32.0,13.6,19.9,558.0,184.8,312.1,4.0,1.2,2.1,5.0,0.0,2.3,30.0,0.0,13.1,0.1,0.0,0.0,0.0,0.1,0.1,82.8,25.9,45.3,draft,2021,WR
105,Mohamed Sanu,SF,55.0,3.4,32.8,560.0,39.0,338.8,3.0,0.2,2.0,4.0,0.0,1.3,17.0,0.0,5.7,0.0,0.0,0.0,0.0,1.0,0.5,75.7,5.2,45.3,draft,2021,WR
106,Bryan Edwards,LV,27.9,22.0,24.0,363.6,286.4,337.3,2.0,1.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,48.2,39.2,45.0,draft,2021,WR
107,Amari Rodgers,GB,34.3,19.0,25.7,428.0,258.6,315.2,3.0,1.0,1.8,8.1,0.0,2.7,49.0,0.0,16.3,0.3,0.0,0.1,0.2,0.2,0.2,60.1,31.9,44.4,draft,2021,WR
108,Deonte Harris,NO,34.3,17.4,25.9,411.6,208.2,291.6,2.3,1.0,1.5,11.0,5.8,8.4,78.0,31.0,54.2,0.3,0.0,0.2,0.3,0.3,0.3,60.9,32.0,44.1,draft,2021,WR
