,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
137,Antonio Williams,BUF,8.7,7.2,8.0,37.1,31.1,34.1,0.3,0.2,0.3,0.9,0.0,0.4,6.3,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.5,5.2,draft,2021,RB
138,Andy Janovich,CLE,2.5,0.0,1.2,10.6,0.0,5.3,0.0,0.0,0.0,4.1,3.7,3.9,34.4,31.5,33.0,0.2,0.2,0.2,0.0,0.0,0.0,6.1,4.4,5.0,draft,2021,RB
139,Alex Collins,SEA,8.8,0.9,4.8,36.7,3.8,20.2,0.4,0.0,0.2,2.0,0.9,1.4,15.0,6.3,10.6,0.1,0.0,0.1,0.1,0.1,0.1,7.8,1.5,4.4,draft,2021,RB
140,Derek Watt,PIT,4.5,3.8,4.2,19.4,16.3,17.8,0.2,0.1,0.1,3.4,0.0,1.7,24.4,0.0,12.2,0.2,0.0,0.1,0.0,0.0,0.0,6.1,2.3,4.3,draft,2021,RB
141,Ben Mason,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,27.6,27.6,27.6,0.2,0.2,0.2,0.0,0.0,0.0,4.1,4.1,4.1,draft,2021,RB
142,Darwin Thompson,KC,4.3,3.5,3.9,18.3,14.7,16.5,0.2,0.1,0.2,2.4,1.0,1.7,18.1,6.5,12.3,0.1,0.0,0.1,0.0,0.0,0.0,4.7,3.5,4.1,draft,2021,RB
143,Dwayne Washington,NO,8.5,0.9,4.7,36.2,3.8,20.0,0.2,0.0,0.1,2.1,0.9,1.5,16.9,6.3,11.6,0.1,0.0,0.0,0.0,0.0,0.0,7.1,1.5,4.0,draft,2021,RB
144,Michael Burton,KC,3.5,3.0,3.3,14.9,12.9,13.9,0.1,0.0,0.1,2.3,1.4,1.9,20.0,9.7,14.8,0.1,0.1,0.1,0.0,0.0,0.0,4.9,3.3,3.9,draft,2021,RB
145,Patrick Laird,MIA,4.1,1.5,2.8,16.9,6.4,11.6,0.1,0.0,0.1,4.6,0.9,2.7,34.0,5.5,19.8,0.2,0.0,0.1,0.0,0.0,0.0,6.7,1.7,3.9,draft,2021,RB
146,JJ Taylor,NE,4.6,1.0,2.8,19.7,4.5,12.1,0.2,0.0,0.1,4.0,0.7,2.3,30.6,5.1,17.9,0.1,0.0,0.1,0.0,0.0,0.0,6.8,1.4,3.8,draft,2021,RB
