,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
77,Joshua Kelley,LAC,4.7,2.0,3.5,18.7,8.0,13.5,0.2,0.0,0.0,1.0,0.0,0.5,7.3,0.0,3.8,0.0,0.0,0.0,0.0,0.1,0.1,3.1,1.6,2.0,2,2022,RB
78,Craig Reynolds,DET,4.8,2.0,3.4,21.5,7.0,12.1,0.1,0.0,0.1,1.4,0.0,0.6,11.2,0.0,5.0,0.0,0.0,0.0,0.0,0.1,0.1,3.9,0.7,1.9,2,2022,RB
79,Trey Sermon,PHI,2.2,2.2,2.2,12.5,12.5,12.5,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,1.9,2,2022,RB
80,Tyrion Davis-Price,SF,4.3,2.0,3.0,18.2,8.0,12.6,0.1,0.0,0.1,0.6,0.0,0.3,5.5,0.0,2.6,0.0,0.0,0.0,0.0,0.1,0.0,3.2,0.6,1.9,2,2022,RB
81,Hassan Haskins,TEN,4.0,2.2,2.8,15.0,9.6,11.5,0.1,0.0,0.1,0.8,0.0,0.4,5.7,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.5,1.9,2,2022,RB
82,Kyle Juszczyk,SF,1.0,0.6,0.8,3.2,1.8,2.6,0.1,0.0,0.0,1.3,0.8,1.1,14.2,7.0,10.0,0.1,0.0,0.1,0.0,0.0,0.0,3.0,0.8,1.8,2,2022,RB
83,Justice Hill,BAL,3.6,2.0,2.8,15.5,3.0,9.8,0.1,0.0,0.1,1.1,0.0,0.5,8.0,0.0,3.9,0.1,0.0,0.0,0.0,0.0,0.0,3.3,0.7,1.8,2,2022,RB
84,Zamir White,LV,4.0,1.6,2.6,19.0,6.1,10.3,0.1,0.0,0.1,0.8,0.0,0.3,5.8,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.2,1.8,2,2022,RB
85,Julius Chestnut,TEN,2.2,2.2,2.2,9.8,9.8,9.8,0.1,0.1,0.1,0.2,0.2,0.2,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,2,2022,RB
86,Antonio Williams,NYG,1.9,1.9,1.9,10.1,10.1,10.1,0.1,0.1,0.1,0.2,0.2,0.2,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,2,2022,RB
87,Andrew Beck,DEN,0.3,0.3,0.3,1.2,1.2,1.2,0.0,0.0,0.0,1.3,1.3,1.3,10.6,10.6,10.6,0.1,0.1,0.1,0.0,0.0,0.0,1.7,1.7,1.7,2,2022,RB
88,Trenton Cannon,TEN,0.5,0.5,0.5,2.2,2.2,2.2,0.0,0.0,0.0,1.5,1.5,1.5,10.8,10.8,10.8,0.1,0.1,0.1,0.0,0.0,0.0,1.7,1.7,1.7,2,2022,RB
89,Caleb Huntley,ATL,0.0,0.0,0.0,8.8,8.8,8.8,0.1,0.1,0.1,0.5,0.5,0.5,3.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,2,2022,RB
90,Giovani Bernard,TB,1.7,1.6,1.6,9.5,5.7,7.3,0.1,0.0,0.1,0.9,0.5,0.6,6.9,3.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.4,1.7,2,2022,RB
91,Ty Chandler,MIN,1.9,1.9,1.9,8.0,8.0,8.0,0.1,0.1,0.1,0.3,0.3,0.3,2.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6,2,2022,RB
92,Jerome Ford,CLE,2.2,2.2,2.2,10.4,6.4,8.4,0.1,0.1,0.1,0.4,0.2,0.3,3.3,1.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.4,1.6,2,2022,RB
93,Keaontay Ingram,ARI,2.0,2.0,2.0,7.7,7.7,7.7,0.1,0.1,0.1,0.3,0.3,0.3,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6,2,2022,RB
94,Jonathan Williams,WAS,1.9,1.9,1.9,8.5,8.4,8.5,0.1,0.1,0.1,0.5,0.0,0.3,3.9,0.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.5,1.6,2,2022,RB
95,Benny Snell,PIT,3.0,2.7,2.9,11.6,8.6,10.4,0.1,0.0,0.1,0.4,0.0,0.2,3.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.5,1.5,2,2022,RB
96,Connor Heyward,PIT,1.8,1.8,1.8,7.0,7.0,7.0,0.1,0.1,0.1,0.2,0.2,0.2,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,2,2022,RB
97,Snoop Conner,JAC,1.5,1.5,1.5,6.8,6.8,6.8,0.1,0.1,0.1,0.2,0.2,0.2,2.2,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,2,2022,RB
98,DeeJay Dallas,SEA,1.8,1.8,1.8,6.2,4.9,5.5,0.1,0.0,0.1,0.7,0.6,0.6,4.5,4.1,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.3,1.5,2,2022,RB
99,Brittain Brown,LV,1.6,1.6,1.6,6.6,6.3,6.4,0.1,0.1,0.1,0.5,0.3,0.4,2.9,2.7,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.4,1.5,2,2022,RB
100,Chris Evans,CIN,1.4,1.4,1.4,7.0,2.9,5.0,0.0,0.0,0.0,0.6,0.6,0.6,6.6,3.6,5.1,0.1,0.0,0.1,0.0,0.0,0.0,2.0,0.9,1.4,2,2022,RB
101,Avery Williams,ATL,2.1,1.0,1.5,8.8,5.0,6.9,0.0,0.0,0.0,1.2,0.0,0.6,8.7,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,1.3,2,2022,RB
102,Travis Homer,SEA,2.0,0.0,0.9,10.8,0.0,4.5,0.0,0.0,0.0,1.0,0.5,0.9,10.0,4.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.1,1.3,2,2022,RB
103,Demetric Felton,CLE,0.5,0.5,0.5,1.5,0.9,1.2,0.0,0.0,0.0,0.8,0.4,0.6,8.0,7.3,7.6,0.1,0.0,0.1,0.0,0.0,0.0,1.6,1.1,1.3,2,2022,RB
104,Ke'Shawn Vaughn,TB,1.6,1.6,1.6,5.9,5.9,5.9,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,2,2022,RB
105,Trestan Ebner,CHI,1.9,1.9,1.9,8.3,3.0,5.6,0.1,0.0,0.1,0.5,0.2,0.4,3.1,1.7,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,1.2,2,2022,RB
106,Mike Boone,DEN,0.9,0.9,0.9,6.3,4.9,5.6,0.1,0.0,0.1,0.2,0.1,0.2,2.6,0.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.1,1.2,2,2022,RB
107,Jake Funk,LAR,1.7,1.7,1.7,6.7,3.9,5.3,0.1,0.0,0.1,0.3,0.1,0.2,2.7,1.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.9,1.2,2,2022,RB
108,Zander Horvath,LAC,1.0,1.0,1.0,4.3,2.2,3.2,0.0,0.0,0.0,1.0,0.5,0.8,6.3,2.7,4.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.6,1.1,2,2022,RB
109,Alec Ingold,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,8.9,8.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,2,2022,RB
110,Patrick Ricard,BAL,0.2,0.2,0.2,1.4,0.2,0.8,0.0,0.0,0.0,1.1,0.5,0.8,8.3,3.7,6.0,0.1,0.0,0.1,0.0,0.0,0.0,1.5,0.7,1.1,2,2022,RB
111,Dwayne Washington,NO,1.2,1.2,1.2,5.0,0.0,2.5,0.0,0.0,0.0,0.7,0.4,0.6,5.5,4.8,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.6,1.0,2,2022,RB
112,Gary Brightwell,NYG,0.0,0.0,0.0,3.4,3.4,3.4,0.0,0.0,0.0,0.4,0.4,0.4,3.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,2022,RB
113,JaMycal Hasty,JAC,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.7,0.7,0.7,6.4,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,2022,RB
114,Deon Jackson,IND,2.2,2.2,2.2,8.9,0.0,4.5,0.1,0.0,0.1,0.3,0.2,0.2,1.6,1.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.1,0.9,2,2022,RB
115,Michael Burton,KC,0.8,0.8,0.8,3.6,2.5,3.0,0.1,0.0,0.1,0.2,0.2,0.2,1.5,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.9,2,2022,RB
116,Rico Dowdle,DAL,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.3,0.3,0.3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,2,2022,RB
117,CJ Ham,MIN,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.7,0.7,0.7,4.7,4.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,2,2022,RB
118,Kene Nwangwu,MIN,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.3,0.3,0.3,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,2,2022,RB
119,Taiwan Jones,BUF,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.4,0.4,0.4,4.8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,2,2022,RB
120,Derek Watt,PIT,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.3,0.3,0.3,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,2,2022,RB
121,Jakob Johnson,LV,0.0,0.0,0.0,1.3,1.3,1.3,0.0,0.0,0.0,0.3,0.3,0.3,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,2,2022,RB
122,Adam Prentice,NO,0.0,0.0,0.0,1.8,1.8,1.8,0.0,0.0,0.0,0.2,0.2,0.2,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,2,2022,RB
123,Keith Smith,ATL,0.0,0.0,0.0,1.9,1.9,1.9,0.0,0.0,0.0,0.3,0.3,0.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,2,2022,RB
124,Khari Blasingame,CHI,0.0,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,0.2,0.2,0.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,2,2022,RB
125,Nick Bellore,SEA,0.0,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,0.2,0.2,0.2,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,2,2022,RB
