Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
59,2330804508,adogg187,0,183.64,QB Ben Roethlisberger RB Dalvin Cook FLEX James Robinson RB Clyde Edwards-Helaire WR Brandin Cooks WR Diontae Johnson WR Jerry Jeudy TE Jonnu Smith DST Titans ,,Albert Okwuegbunam,TE,3.15%,1.7
60,2338269220,shawnbr85,0,183.62,QB Drew Lock RB Christian McCaffrey RB Dalvin Cook FLEX Jordan Howard WR Julio Jones WR Jerry Jeudy WR Marvin Hall TE Noah Fant DST WAS Football Team ,,Will Dissly,TE,3.13%,3.6
61,2338437887,Rickygangster,0,183.3,QB Josh Allen RB Dalvin Cook FLEX James Conner RB DeeJay Dallas WR Terry McLaurin WR DJ Chark Jr. WR Marvin Jones Jr. TE Logan Thomas DST Vikings ,,D'Andre Swift,RB,3.08%,12.7
62,2336680082,SalceBandido,0,183.28,QB Patrick Mahomes RB Dalvin Cook RB Tony Pollard WR Stefon Diggs WR Diontae Johnson WR David Moore FLEX Travis Kelce TE Noah Fant DST Vikings ,,J.K. Dobbins,FLEX,2.96%,5.5
63,2337390650,kush69,0,183.22,QB Drew Lock RB Dalvin Cook RB Chase Edmonds WR Julio Jones FLEX Brandin Cooks WR Marvin Jones Jr. WR Jerry Jeudy TE Noah Fant DST Giants ,,Trey Burton,TE,2.91%,1.6
64,2339576548,jrn32,0,183,QB Josh Allen RB Dalvin Cook RB Justin Jackson WR Stefon Diggs WR JuJu Smith-Schuster FLEX Jerry Jeudy WR Darnell Mooney TE T.J. Hockenson DST Jaguars ,,Will Fuller V,WR,2.78%,24
65,2335758580,jenner150,0,182.9,QB Josh Allen RB Dalvin Cook FLEX Josh Jacobs RB DeeJay Dallas WR Tyler Lockett WR Marvin Jones Jr. WR Jerry Jeudy TE Hayden Hurst DST Giants ,,DK Metcalf,WR,2.66%,26.8
66,2337684859,nattyg6,0,182.42,QB Drew Lock RB Dalvin Cook RB David Johnson WR Julio Jones WR Keenan Allen FLEX Sterling Shepard WR Jerry Jeudy TE Noah Fant DST Giants ,,Russell Gage,WR,2.61%,3.1
67,2331499891,creat02,0,182.32,QB Drew Lock RB Dalvin Cook RB Antonio Gibson WR Keenan Allen WR Christian Kirk WR Diontae Johnson FLEX Darren Waller TE Noah Fant DST Texans ,,Allen Robinson II,WR,2.59%,15.1
67,2333977955,rweissenborn,0,182.32,QB Drew Lock RB Dalvin Cook FLEX James Robinson RB DeeJay Dallas WR Julio Jones WR Terry McLaurin WR Jerry Jeudy TE Albert Okwuegbunam DST WAS Football Team ,,Kyler Murray,QB,2.56%,41.92
69,2337027685,pentonc96,0,182.3,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas WR Stefon Diggs FLEX Robby Anderson WR Jerry Jeudy WR Darnell Mooney TE Hunter Henry DST WAS Football Team ,,Melvin Gordon III,FLEX,2.51%,3.7
70,2337055572,ncoffer123,0,182.26,QB Matt Ryan RB Dalvin Cook RB David Johnson WR Julio Jones FLEX Christian Kirk WR DJ Chark Jr. WR John Brown TE T.J. Hockenson DST Vikings ,,JuJu Smith-Schuster,WR,2.49%,21.3
71,2339431057,locomac24,0,181.82,QB Drew Lock RB Dalvin Cook RB Chase Edmonds FLEX DeeJay Dallas WR Julio Jones WR Brandin Cooks WR Jerry Jeudy TE Noah Fant DST Giants ,,Matt Ryan,QB,2.47%,23.36
72,2331952808,addiedog,0,181.7,QB Russell Wilson RB Dalvin Cook RB J.K. Dobbins WR DK Metcalf WR Marvin Jones Jr. WR Jerry Jeudy FLEX Noah Fant TE Evan Engram DST Giants ,,Ben Roethlisberger,QB,2.45%,28.04
72,2339752742,SmittyJr55,0,181.7,QB Josh Allen RB Dalvin Cook RB Antonio Gibson WR Stefon Diggs WR Tyler Lockett FLEX Diontae Johnson WR Jerry Jeudy TE Will Dissly DST Vikings ,,Travis Kelce,TE,2.45%,28.9
72,2334414690,RTalento,0,181.7,QB Josh Allen RB Dalvin Cook RB Chase Edmonds WR Stefon Diggs WR Tyler Lockett WR Jerry Jeudy FLEX Demarcus Robinson TE Irv Smith Jr. DST Cardinals ,,Adam Thielen,WR,2.44%,5.8
