,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
2268,Cam Newton,Lamar Miller,Alvin Kamara,Julio Jones,Demaryius Thomas,Tyler Boyd,Eric Ebron,T.Y. Hilton,Arizona Cardinals,144.584,49800
2269,Cam Newton,Dion Lewis,Todd Gurley,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Trey Burton,Kansas City Chiefs,144.584,49800
2270,Cam Newton,Dion Lewis,Todd Gurley,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Trey Burton,Kansas City Chiefs,144.584,49800
2271,Matt Ryan,Corey Clement,Jordan Wilkins,Julio Jones,T.Y. Hilton,Nelson Agholor,Eric Ebron,Alvin Kamara,Arizona Cardinals,144.58200000000002,49700
2272,Matt Ryan,Corey Clement,Alvin Kamara,Julio Jones,Tyler Boyd,T.Y. Hilton,Eric Ebron,Nelson Agholor,Arizona Cardinals,144.58200000000002,49700
2273,Matt Ryan,Corey Clement,Alvin Kamara,Julio Jones,T.Y. Hilton,Cooper Kupp,Eric Ebron,Devin Funchess,Arizona Cardinals,144.582,49800
2274,Jimmy Garoppolo,Jordan Wilkins,Todd Gurley,Julio Jones,Cooper Kupp,A.J. Green,Eric Ebron,George Kittle,Dallas Cowboys,144.58,49800
2275,Jimmy Garoppolo,Dion Lewis,Lamar Miller,Julio Jones,Tyler Boyd,T.Y. Hilton,Eric Ebron,Alvin Kamara,Kansas City Chiefs,144.58,49500
2276,Jimmy Garoppolo,Kareem Hunt,Todd Gurley,Julio Jones,Demaryius Thomas,Michael Crabtree,Eric Ebron,Corey Davis,Dallas Cowboys,144.58,49800
2277,Deshaun Watson,Lamar Miller,Todd Gurley,Julio Jones,T.Y. Hilton,Devin Funchess,Eric Ebron,Trey Burton,Arizona Cardinals,144.57800000000003,49600
2278,Deshaun Watson,Dion Lewis,Todd Gurley,Julio Jones,A.J. Green,Corey Davis,Eric Ebron,George Kittle,Dallas Cowboys,144.57800000000003,49700
2279,Drew Brees,Lamar Miller,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,George Kittle,Todd Gurley,Arizona Cardinals,144.57600000000002,50000
2280,Drew Brees,Corey Clement,Lamar Miller,Julio Jones,Michael Crabtree,Nelson Agholor,Eric Ebron,Alvin Kamara,Arizona Cardinals,144.57600000000002,50000
2281,Cam Newton,Ezekiel Elliott,Todd Gurley,Julio Jones,Demaryius Thomas,Corey Davis,Eric Ebron,Trey Burton,Dallas Cowboys,144.57400000000004,49900
2282,Matt Ryan,Jordan Wilkins,Ezekiel Elliott,Julio Jones,Michael Crabtree,Devin Funchess,Eric Ebron,Todd Gurley,Dallas Cowboys,144.57200000000003,49800
2283,Matt Ryan,Lamar Miller,Kareem Hunt,Demaryius Thomas,Tyler Boyd,Michael Thomas,Eric Ebron,Todd Gurley,Arizona Cardinals,144.57200000000003,49500
2284,Matt Ryan,Lamar Miller,Alvin Kamara,Julio Jones,Tyler Boyd,A.J. Green,Eric Ebron,George Kittle,Arizona Cardinals,144.57200000000003,49600
2285,Matt Ryan,Ezekiel Elliott,Todd Gurley,Julio Jones,Tyler Boyd,Michael Crabtree,Eric Ebron,Devin Funchess,Dallas Cowboys,144.57200000000003,49800
2286,Matt Ryan,Dion Lewis,Jordan Wilkins,Julio Jones,Demaryius Thomas,A.J. Green,Eric Ebron,Alvin Kamara,Kansas City Chiefs,144.572,49700
2287,Matt Ryan,Dion Lewis,Jordan Wilkins,Julio Jones,Demaryius Thomas,T.Y. Hilton,George Kittle,Todd Gurley,Kansas City Chiefs,144.572,49700
2288,Matt Ryan,Corey Clement,Jordan Wilkins,Julio Jones,Demaryius Thomas,A.J. Green,Trey Burton,Todd Gurley,Dallas Cowboys,144.572,49600
2289,Matt Ryan,Dion Lewis,Alvin Kamara,Julio Jones,Demaryius Thomas,Tyler Boyd,Eric Ebron,A.J. Green,Kansas City Chiefs,144.572,49700
2290,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,Demaryius Thomas,Tyler Boyd,Trey Burton,A.J. Green,Dallas Cowboys,144.572,49600
2291,Matt Ryan,Dion Lewis,Todd Gurley,Julio Jones,Demaryius Thomas,Tyler Boyd,George Kittle,T.Y. Hilton,Kansas City Chiefs,144.57199999999997,49700
2292,Jimmy Garoppolo,Dion Lewis,Lamar Miller,Demaryius Thomas,Cooper Kupp,Michael Thomas,Eric Ebron,Todd Gurley,Dallas Cowboys,144.57000000000002,49800
2293,Jimmy Garoppolo,Jordan Wilkins,Todd Gurley,Julio Jones,Demaryius Thomas,Tyler Boyd,Eric Ebron,A.J. Green,Arizona Cardinals,144.57000000000002,49500
2294,Deshaun Watson,Lamar Miller,Todd Gurley,Julio Jones,T.Y. Hilton,Corey Davis,Eric Ebron,Devin Funchess,Dallas Cowboys,144.568,49900
2295,Deshaun Watson,Corey Clement,Alvin Kamara,Julio Jones,T.Y. Hilton,Cooper Kupp,Eric Ebron,Michael Crabtree,Dallas Cowboys,144.568,50000
2296,Deshaun Watson,Corey Clement,Ezekiel Elliott,Julio Jones,Tyler Boyd,Devin Funchess,Eric Ebron,Alvin Kamara,Dallas Cowboys,144.568,49800
2297,Drew Brees,Corey Clement,Lamar Miller,Julio Jones,Tyler Boyd,T.Y. Hilton,Trey Burton,Todd Gurley,Arizona Cardinals,144.566,49500
2298,Drew Brees,Dion Lewis,Lamar Miller,Julio Jones,Demaryius Thomas,Michael Crabtree,George Kittle,Todd Gurley,Kansas City Chiefs,144.566,50000
2299,Drew Brees,Kareem Hunt,Todd Gurley,Julio Jones,Demaryius Thomas,Michael Crabtree,Eric Ebron,Corey Davis,Arizona Cardinals,144.566,49900
2300,Drew Brees,Jordan Wilkins,Todd Gurley,Julio Jones,Cooper Kupp,A.J. Green,Eric Ebron,George Kittle,Arizona Cardinals,144.566,49900
2301,Matt Ryan,Dion Lewis,Alvin Kamara,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Corey Davis,Arizona Cardinals,144.562,49700
2302,Matt Ryan,Dion Lewis,Ezekiel Elliott,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Dallas Cowboys,144.562,49500
2303,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Crabtree,George Kittle,Todd Gurley,Dallas Cowboys,144.562,49700
2304,Matt Ryan,Dion Lewis,Kareem Hunt,Julio Jones,Demaryius Thomas,Michael Crabtree,Trey Burton,Todd Gurley,Arizona Cardinals,144.562,49800
2305,Jimmy Garoppolo,Corey Clement,Dion Lewis,Julio Jones,Tyler Boyd,T.Y. Hilton,George Kittle,Alvin Kamara,Arizona Cardinals,144.56,50000
2306,Jimmy Garoppolo,Dion Lewis,Todd Gurley,Julio Jones,T.Y. Hilton,Michael Crabtree,Eric Ebron,Trey Burton,Arizona Cardinals,144.56,49500
2307,Jimmy Garoppolo,Kareem Hunt,Alvin Kamara,Julio Jones,Tyler Boyd,T.Y. Hilton,Eric Ebron,Trey Burton,Arizona Cardinals,144.56,50000
2308,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Corey Davis,Nelson Agholor,Eric Ebron,Todd Gurley,Kansas City Chiefs,144.55800000000002,49700
2309,Deshaun Watson,Corey Clement,Ezekiel Elliott,Julio Jones,Tyler Boyd,Cooper Kupp,Trey Burton,Todd Gurley,Dallas Cowboys,144.55800000000002,49900
2310,Deshaun Watson,Ezekiel Elliott,Todd Gurley,Julio Jones,Tyler Boyd,Michael Crabtree,Eric Ebron,George Kittle,Kansas City Chiefs,144.558,49800
2311,Deshaun Watson,Dion Lewis,Todd Gurley,Julio Jones,T.Y. Hilton,Devin Funchess,Eric Ebron,George Kittle,Dallas Cowboys,144.558,49500
2312,Deshaun Watson,Dion Lewis,Ezekiel Elliott,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Kansas City Chiefs,144.558,50000
2313,Drew Brees,Dion Lewis,Lamar Miller,Demaryius Thomas,Cooper Kupp,Michael Thomas,Eric Ebron,Todd Gurley,Arizona Cardinals,144.556,49900
2314,Cam Newton,Ezekiel Elliott,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Arizona Cardinals,144.55400000000003,49700
2315,Jimmy Garoppolo,Corey Clement,Lamar Miller,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Alvin Kamara,Kansas City Chiefs,144.55,49900
2316,Jimmy Garoppolo,Jordan Wilkins,Ezekiel Elliott,Julio Jones,Demaryius Thomas,Tyler Boyd,Eric Ebron,Alvin Kamara,Dallas Cowboys,144.55,49800
2317,Jimmy Garoppolo,Corey Clement,Todd Gurley,Julio Jones,A.J. Green,Corey Davis,Eric Ebron,Trey Burton,Arizona Cardinals,144.55,49500
2318,Jimmy Garoppolo,Dion Lewis,Todd Gurley,Julio Jones,T.Y. Hilton,Michael Crabtree,Eric Ebron,Corey Davis,Dallas Cowboys,144.55,49800
2319,Deshaun Watson,Dion Lewis,Todd Gurley,Julio Jones,Cooper Kupp,A.J. Green,Eric Ebron,Trey Burton,Dallas Cowboys,144.548,49600
2320,Deshaun Watson,Dion Lewis,Todd Gurley,Julio Jones,Demaryius Thomas,Michael Crabtree,Eric Ebron,Nelson Agholor,Arizona Cardinals,144.548,49800
2321,Drew Brees,Dion Lewis,Todd Gurley,Julio Jones,Tyler Boyd,A.J. Green,Eric Ebron,Michael Crabtree,Kansas City Chiefs,144.546,49900
2322,Drew Brees,Dion Lewis,Jordan Wilkins,Julio Jones,A.J. Green,Michael Crabtree,Eric Ebron,Todd Gurley,Kansas City Chiefs,144.546,49900
2323,Drew Brees,Jordan Wilkins,Todd Gurley,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Cooper Kupp,Kansas City Chiefs,144.54599999999996,49700
2324,Cam Newton,Corey Clement,Alvin Kamara,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Trey Burton,Arizona Cardinals,144.544,50000
2325,Cam Newton,Corey Clement,Lamar Miller,Julio Jones,Tyler Boyd,A.J. Green,Trey Burton,Todd Gurley,Arizona Cardinals,144.544,49900
2326,Cam Newton,Corey Clement,Alvin Kamara,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Trey Burton,Arizona Cardinals,144.544,50000
2327,Matt Ryan,Dion Lewis,Lamar Miller,Tyler Boyd,T.Y. Hilton,Michael Thomas,Eric Ebron,Todd Gurley,Arizona Cardinals,144.54200000000003,49500
2328,Jimmy Garoppolo,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,George Kittle,Arizona Cardinals,144.54000000000002,49700
2329,Jimmy Garoppolo,Kareem Hunt,Todd Gurley,Julio Jones,Cooper Kupp,Devin Funchess,Eric Ebron,George Kittle,Arizona Cardinals,144.54,49800
