,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
19727,Joe Flacco,Kerryon Johnson,Ezekiel Elliott,Adam Thielen,Willie Snead,DeAndre Hopkins,Kyle Rudolph,Kenny Golladay,Tampa Bay Buccaneers,141.464,49700
19728,Joe Flacco,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Willie Snead,Kenny Golladay,Eric Ebron,Ezekiel Elliott,Carolina Panthers,141.464,49500
19729,Matthew Stafford,LeSean McCoy,Ezekiel Elliott,Adam Thielen,Marvin Jones,Keelan Cole,David Njoku,Kenny Golladay,Carolina Panthers,141.464,50000
19730,Matthew Stafford,Todd Gurley,LeSean McCoy,Adam Thielen,Marvin Jones,Robby Anderson,Kyle Rudolph,Keelan Cole,Buffalo Bills,141.464,50000
19731,Joe Flacco,LeSean McCoy,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Robby Anderson,David Njoku,Kyle Rudolph,Buffalo Bills,141.464,49500
19732,Matthew Stafford,Bilal Powell,Todd Gurley,Golden Tate,Keelan Cole,Kenny Golladay,Eric Ebron,LeSean McCoy,Carolina Panthers,141.464,50000
19733,Matthew Stafford,Bilal Powell,Todd Gurley,Golden Tate,Robby Anderson,Keelan Cole,Kyle Rudolph,Ezekiel Elliott,Buffalo Bills,141.464,49600
19734,Joe Flacco,Bilal Powell,LeSean McCoy,Adam Thielen,DeAndre Hopkins,Keelan Cole,Kyle Rudolph,Ezekiel Elliott,Carolina Panthers,141.464,49500
19735,Matthew Stafford,Duke Johnson,Todd Gurley,Adam Thielen,Willie Snead,Michael Crabtree,Eric Ebron,Keelan Cole,Carolina Panthers,141.464,49500
19736,Baker Mayfield,Todd Gurley,LeSean McCoy,Jermaine Kearse,Cole Beasley,Keelan Cole,Eric Ebron,Ezekiel Elliott,Buffalo Bills,141.46200000000002,49600
19737,Baker Mayfield,Bilal Powell,LeSean McCoy,Adam Thielen,Michael Crabtree,Kenny Golladay,Kyle Rudolph,Ezekiel Elliott,Carolina Panthers,141.462,49500
19738,Kirk Cousins,Bilal Powell,LeSean McCoy,Adam Thielen,Marvin Jones,Robby Anderson,Eric Ebron,Ezekiel Elliott,Buffalo Bills,141.45800000000003,50000
19739,Kirk Cousins,Kerryon Johnson,Todd Gurley,Marvin Jones,Cole Beasley,Kenny Golladay,Kyle Rudolph,Ezekiel Elliott,Buffalo Bills,141.45800000000003,49800
19740,Kirk Cousins,Duke Johnson,Todd Gurley,Marvin Jones,Michael Crabtree,Kenny Golladay,Eric Ebron,LeSean McCoy,Tampa Bay Buccaneers,141.45800000000003,49500
19741,Kirk Cousins,Todd Gurley,Ezekiel Elliott,Jermaine Kearse,Marvin Jones,Michael Crabtree,Eric Ebron,Cole Beasley,Tampa Bay Buccaneers,141.45800000000003,50000
19742,Kirk Cousins,Duke Johnson,LeSean McCoy,Adam Thielen,DeAndre Hopkins,Keelan Cole,Eric Ebron,Kenny Golladay,Buffalo Bills,141.45800000000003,49800
19743,Kirk Cousins,Todd Gurley,Ezekiel Elliott,Jermaine Kearse,Marvin Jones,Michael Crabtree,Kyle Rudolph,Eric Ebron,Tampa Bay Buccaneers,141.45800000000003,50000
19744,Kirk Cousins,Bilal Powell,Todd Gurley,Willie Snead,Keelan Cole,Kenny Golladay,David Njoku,Ezekiel Elliott,Carolina Panthers,141.458,49500
19745,Kirk Cousins,Bilal Powell,Ezekiel Elliott,Jermaine Kearse,Adam Thielen,Marvin Jones,Eric Ebron,Kenny Golladay,Carolina Panthers,141.458,49900
19746,Kirk Cousins,Kerryon Johnson,Todd Gurley,Adam Thielen,Cole Beasley,Keelan Cole,Kyle Rudolph,Kenny Golladay,Carolina Panthers,141.458,49900
19747,Kirk Cousins,Kerryon Johnson,Todd Gurley,DeAndre Hopkins,Keelan Cole,Kenny Golladay,Kyle Rudolph,LeSean McCoy,Carolina Panthers,141.45799999999997,49900
19748,Kirk Cousins,Todd Gurley,LeSean McCoy,Golden Tate,Marvin Jones,Robby Anderson,Kyle Rudolph,Kenny Golladay,Carolina Panthers,141.45799999999997,49700
