Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Da'Mari Scott (11574237),Da'Mari Scott,11574237,WR/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,CLE,0
WR,Breshad Perriman (11574239),Breshad Perriman,11574239,WR/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,CLE,2.7
RB,Tra Carson (11573997),Tra Carson,11573997,RB/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,GB,0
RB,Senorise Perry (11573999),Senorise Perry,11573999,RB/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,MIA,0
RB,Brandon Bolden (11574001),Brandon Bolden,11574001,RB/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,MIA,0
WR,Jake Kumerow (11574241),Jake Kumerow,11574241,WR/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,GB,0
WR,J'Mon Moore (11574243),J'Mon Moore,11574243,WR/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,GB,0.5
WR,Albert Wilson (11574245),Albert Wilson,11574245,WR/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,MIA,14.25
WR,Leonte Carroo (11574247),Leonte Carroo,11574247,WR/FLEX,3000,MIA@GB 11/11/2018 04:25PM ET,MIA,0
RB,David Williams (11574003),David Williams,11574003,RB/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,0.1
RB,Tommy Bohanon (11574005),Tommy Bohanon,11574005,RB/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,0.38
RB,Corey Grant (11574007),Corey Grant,11574007,RB/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,3.94
WR,Matt Hazel (11574249),Matt Hazel,11574249,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,IND,0
WR,Dontrelle Inman (11574251),Dontrelle Inman,11574251,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,IND,5.6
WR,Steve Ishmael (11574253),Steve Ishmael,11574253,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,IND,0
WR,Rashad Greene Sr. (11574255),Rashad Greene Sr.,11574255,WR/FLEX,3000,JAX@IND 11/11/2018 01:00PM ET,JAX,1.85
RB,Michael Burton (11574009),Michael Burton,11574009,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,0.4
RB,Taquan Mizzell (11574011),Taquan Mizzell,11574011,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,1.5
RB,Nick Bellore (11574013),Nick Bellore,11574013,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0.06
RB,Ameer Abdullah (11574015),Ameer Abdullah,11574015,RB/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0.97
WR,Javon Wims (11574257),Javon Wims,11574257,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,0
WR,Kevin White (11574259),Kevin White,11574259,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,1.43
WR,Josh Bellamy (11574261),Josh Bellamy,11574261,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,CHI,2.44
WR,TJ Jones (11574263),TJ Jones,11574263,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,1.41
WR,Brandon Powell (11574265),Brandon Powell,11574265,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0
WR,Andy Jones (11574267),Andy Jones,11574267,WR/FLEX,3000,DET@CHI 11/11/2018 01:00PM ET,DET,0
RB,Darrel Williams (11574017),Darrel Williams,11574017,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,0
RB,Damien Williams (11574019),Damien Williams,11574019,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,0.54
RB,Anthony Sherman (11574021),Anthony Sherman,11574021,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,2.06
RB,Derrick Coleman (11574023),Derrick Coleman,11574023,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0.5
RB,T.J. Logan (11574025),T.J. Logan,11574025,RB/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0
WR,Marcus Kemp (11574269),Marcus Kemp,11574269,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,0.19
WR,Demarcus Robinson (11574271),Demarcus Robinson,11574271,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,KC,2.01
WR,Trent Sherfield (11574273),Trent Sherfield,11574273,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0
WR,J.J. Nelson (11574275),J.J. Nelson,11574275,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,0.95
WR,Chad Williams (11574277),Chad Williams,11574277,WR/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,3.54
TE,Ricky Seals-Jones (11574355),Ricky Seals-Jones,11574355,TE/FLEX,3000,ARI@KC 11/11/2018 01:00PM ET,ARI,5.82
RB,David Fluellen (11574027),David Fluellen,11574027,RB/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,0.03
RB,Jalston Fowler (11574029),Jalston Fowler,11574029,RB/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,0
