,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
57,Alex Erickson,CIN,2.7,1.3,2.2,36.0,11.7,28.3,0.3,0.0,0.2,0.2,0.0,0.1,1.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1.6,3.8,10,WR
58,Equanimeous St,GB,2.8,1.2,1.8,39.6,18.0,27.1,0.2,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.4,3.7,10,WR
59,Jakeem Grant,MIA,2.4,1.9,2.1,29.6,25.0,27.5,0.3,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.5,3.7,10,WR
60,Richie James,SF,2.5,1.0,1.9,30.9,17.0,25.3,0.2,0.1,0.2,0.1,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.4,3.4,10,WR
61,Kendrick Bourne,SF,2.4,1.9,2.1,26.5,23.0,24.9,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.9,3.1,3.4,10,WR
62,Cam Batson,TEN,2.8,0.3,2.0,35.0,3.4,25.2,0.2,0.0,0.2,0.1,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,4.5,0.4,3.4,10,WR
63,Rashard Higgins,CLE,2.7,1.0,2.1,33.0,20.0,27.9,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.0,3.4,10,WR
64,Dante Pettis,NYG,2.0,1.1,1.4,26.2,14.3,20.5,0.2,0.0,0.1,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.0,2.8,10,WR
65,DJ Chark,JAC,2.3,1.0,1.7,35.0,12.4,23.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.3,1.4,2.8,10,WR
66,Demarcus Robinson,KC,1.8,1.3,1.5,22.7,14.6,18.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1.7,2.7,10,WR
