,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
142,WR,Jalen Reagor (15751736),Jalen Reagor,15751736.0,WR/FLEX,4200.0,PHI@NYG 11/15/2020 01:00PM ET,PHI,9.27
143,TE,Dallas Goedert (15751962),Dallas Goedert,15751962.0,TE/FLEX,4200.0,PHI@NYG 11/15/2020 01:00PM ET,PHI,9.58
144,RB,Jordan Howard (15751488),Jordan Howard,15751488.0,RB/FLEX,4200.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,5.6
145,QB,Tim Boyle (15751393),Tim Boyle,15751393.0,QB,4100.0,JAX@GB 11/15/2020 01:00PM ET,GB,-0.1
146,QB,Geno Smith (15751392),Geno Smith,15751392.0,QB,4100.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,0.0
147,QB,Mason Rudolph (15751391),Mason Rudolph,15751391.0,QB,4100.0,CIN@PIT 11/15/2020 04:25PM ET,PIT,0.03
148,RB,DeAndre Washington (15751492),DeAndre Washington,15751492.0,RB/FLEX,4100.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,1.7
149,TE,Hunter Henry (15751964),Hunter Henry,15751964.0,TE/FLEX,4100.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,9.34
150,QB,David Blough (15751407),David Blough,15751407.0,QB,4000.0,WAS@DET 11/15/2020 01:00PM ET,DET,0.0
151,RB,Peyton Barber (15751626),Peyton Barber,15751626.0,RB/FLEX,4000.0,WAS@DET 11/15/2020 01:00PM ET,WAS,3.58
152,RB,Bryce Love (15751628),Bryce Love,15751628.0,RB/FLEX,4000.0,WAS@DET 11/15/2020 01:00PM ET,WAS,0.0
153,RB,Adrian Peterson (15751630),Adrian Peterson,15751630.0,RB/FLEX,4000.0,WAS@DET 11/15/2020 01:00PM ET,DET,7.99
154,RB,Kerryon Johnson (15751632),Kerryon Johnson,15751632.0,RB/FLEX,4000.0,WAS@DET 11/15/2020 01:00PM ET,DET,5.54
155,RB,Jonathan Williams (15751634),Jonathan Williams,15751634.0,RB/FLEX,4000.0,WAS@DET 11/15/2020 01:00PM ET,DET,0.0
156,RB,Jason Cabinda (15751636),Jason Cabinda,15751636.0,RB/FLEX,4000.0,WAS@DET 11/15/2020 01:00PM ET,DET,0.7
157,QB,Brett Rypien (15751398),Brett Rypien,15751398.0,QB,4000.0,DEN@LV 11/15/2020 04:05PM ET,DEN,7.65
158,QB,Jeff Driskel (15751406),Jeff Driskel,15751406.0,QB,4000.0,DEN@LV 11/15/2020 04:05PM ET,DEN,10.69
159,RB,Jalen Richard (15751612),Jalen Richard,15751612.0,RB/FLEX,4000.0,DEN@LV 11/15/2020 04:05PM ET,LV,4.41
160,RB,Devontae Booker (15751614),Devontae Booker,15751614.0,RB/FLEX,4000.0,DEN@LV 11/15/2020 04:05PM ET,LV,6.04
161,RB,Theo Riddick (15751616),Theo Riddick,15751616.0,RB/FLEX,4000.0,DEN@LV 11/15/2020 04:05PM ET,LV,1.3
162,RB,Alec Ingold (15751618),Alec Ingold,15751618.0,RB/FLEX,4000.0,DEN@LV 11/15/2020 04:05PM ET,LV,3.11
163,RB,Royce Freeman (15751620),Royce Freeman,15751620.0,RB/FLEX,4000.0,DEN@LV 11/15/2020 04:05PM ET,DEN,3.27
164,RB,LeVante Bellamy (15751622),LeVante Bellamy,15751622.0,RB/FLEX,4000.0,DEN@LV 11/15/2020 04:05PM ET,DEN,0.0
165,RB,Jeremy Cox (15751624),Jeremy Cox,15751624.0,RB/FLEX,4000.0,DEN@LV 11/15/2020 04:05PM ET,DEN,0.0
166,RB,Jeff Wilson Jr. (15751498),Jeff Wilson,15751498.0,RB/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,SF,12.56
167,RB,Tevin Coleman (15751600),Tevin Coleman,15751600.0,RB/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,SF,3.8
168,RB,Kyle Juszczyk (15751602),Kyle Juszczyk,15751602.0,RB/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,SF,4.16
169,RB,Latavius Murray (15751604),Latavius Murray,15751604.0,RB/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,NO,8.19
170,RB,Dwayne Washington (15751606),Dwayne Washington,15751606.0,RB/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,NO,0.3
171,RB,Ty Montgomery (15751608),Ty Montgomery,15751608.0,RB/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,NO,2.05
172,RB,Michael Burton (15751610),Michael Burton,15751610.0,RB/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,NO,1.08
173,WR,Richie James (15751744),Richie James,15751744.0,WR/FLEX,4000.0,SF@NO 11/15/2020 04:25PM ET,SF,12.13
174,QB,Jordan Love (15751405),Jordan Love,15751405.0,QB,4000.0,JAX@GB 11/15/2020 01:00PM ET,GB,0.0
175,RB,Jamaal Williams (15751494),Jamaal Williams,15751494.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,GB,11.53
176,RB,Chris Thompson (15751584),Chris Thompson,15751584.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,JAC,7.1
177,RB,Devine Ozigbo (15751586),Devine Ozigbo,15751586.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,JAC,0.0
178,RB,Dare Ogunbowale (15751588),Dare Ogunbowale,15751588.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,JAC,0.0
179,RB,Ryquell Armstead (15751590),Ryquell Armstead,15751590.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,JAC,0.0
180,RB,Tyler Ervin (15751592),Tyler Ervin,15751592.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,GB,4.13
181,RB,Dexter Williams (15751594),Dexter Williams,15751594.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,GB,0.8
182,RB,AJ Dillon (15751596),AJ Dillon,15751596.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,GB,2.05
