QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Davante Adams (15751638),Terry McLaurin (15751652),Keelan Cole (15751772),Darren Waller (15751946),James Robinson (15751420),Rams  (15752149),49500.0,110.98042857142858,151.8947142857143,206.36,2877,440,112,3429,649
Derek Carr (15751367),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Davante Adams (15751638),DeVante Parker (15751706),Darren Waller (15751946),Danny Amendola (15751746),Rams  (15752149),49600.0,115.84142857142858,151.89371428571428,194.87199999999999,131,441,2993,3565,678
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Danny Amendola (15751746),Stefon Diggs (15751644),Darren Waller (15751946),Keelan Cole (15751772),Lions  (15752142),50000.0,112.61042857142859,151.88685714285714,195.51857142857142,1287,442,2699,4428,938
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Terry McLaurin (15751652),Keelan Cole (15751772),Austin Hooper (15751968),James Conner (15751414),Rams  (15752149),49900.0,108.43042857142858,151.8847142857143,199.14,6699,443,1315,8457,2211
Justin Herbert (15751354),Mike Davis (15751496),Josh Jacobs (15751422),Davante Adams (15751638),Terry McLaurin (15751652),Danny Amendola (15751746),Darren Waller (15751946),DJ Moore (15751702),Rams  (15752149),50000.0,114.78042857142859,151.8847142857143,197.74,319,444,1759,2522,402
Justin Herbert (15751354),Mike Davis (15751496),James Conner (15751414),Keenan Allen (15751648),Davante Adams (15751638),Robby Anderson (15751670),Austin Hooper (15751968),Danny Amendola (15751746),Rams  (15752149),49700.0,115.08042857142857,151.8747142857143,199.99,246,445,1058,1749,230
Justin Herbert (15751354),Mike Davis (15751496),Josh Jacobs (15751422),Keenan Allen (15751648),Davante Adams (15751638),DJ Moore (15751702),Darren Waller (15751946),Keelan Cole (15751772),Rams  (15752149),49800.0,114.86042857142859,151.8747142857143,197.64000000000001,294,446,1801,2541,408
Tom Brady (15751356),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Terry McLaurin (15751652),DJ Moore (15751702),Darren Waller (15751946),Stefon Diggs (15751644),Rams  (15752149),50000.0,113.16242857142858,151.87471428571428,201.98199999999997,922,447,624,1993,277
Tom Brady (15751356),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Davante Adams (15751638),Danny Amendola (15751746),Austin Hooper (15751968),Miles Sanders (15751424),Rams  (15752149),49900.0,110.99242857142858,151.86971428571428,195.652,2863,448,2647,5958,1424
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Terry McLaurin (15751652),Robby Anderson (15751670),DJ Moore (15751702),Austin Hooper (15751968),Alvin Kamara (15751410),Rams  (15752149),50000.0,108.20042857142859,151.86471428571429,201.14,7065,449,774,8288,2164
