Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Sammy Watkins,KC,WR,5000.0,Sammy Watkins (16006398) (LOCKED),8.94,6.4,11.309999999999999,13.96,4.8,9.26,11.610000000000001,6.3,11.309999999999999,13.96,781.25,442.08664898320075,358.1661891117478,20,6,22,6,6,12
Anthony Miller,CHI,WR,3200.0,Anthony Miller (16006464) (LOCKED),7.09,4.7,7.05,9.450000000000001,3.7,5.75,7.8500000000000005,4.7,7.05,9.450000000000001,680.8510638297872,453.9007092198582,338.6243386243386,30,8,23,6,6,14
Tyreek Hill,KC,WR,9000.0,Tyreek Hill (16006352) (LOCKED),22.53,15.270000000000001,19.0,26.5,12.520000000000001,15.15,20.0,15.170000000000002,18.1,23.5,589.3909626719056,473.6842105263158,339.62264150943395,4,3,24,6,3,9
Willie Snead,BAL,WR,3900.0,Willie Snead IV (16006434) (LOCKED),7.48,5.0,8.09,10.66,4.0,6.390000000000001,8.41,5.0,8.09,10.66,780.0,482.0766378244747,365.8536585365854,28,7,25,6,6,13
Amari Cooper,DAL,WR,5700.0,Amari Cooper (16006384) (LOCKED),15.91,9.08,11.739999999999998,14.8,7.13,9.39,11.8,9.08,11.739999999999998,14.8,627.7533039647577,485.519591141397,385.1351351351351,19,6,26,6,6,12
Tyler Lockett,SEA,WR,6500.0,Tyler Lockett (16006372) (LOCKED),15.89,8.520000000000001,12.39,14.4,6.720000000000001,10.39,12.15,8.420000000000002,12.39,14.4,762.9107981220656,524.6166263115415,451.38888888888886,17,6,27,7,6,13
Keke Coutee,HOU,WR,5400.0,Keke Coutee (16006392) (LOCKED),11.14,8.13,10.14,12.38,6.13,8.09,10.08,8.030000000000001,10.14,12.38,664.2066420664206,532.5443786982248,436.1873990306946,23,7,28,7,7,14
Phillip Dorsett,SEA,WR,3000.0,Phillip Dorsett II (16006504) (LOCKED),0.0,3.3699999999999997,5.51,8.0,2.5199999999999996,4.460000000000001,6.500000000000001,3.2699999999999996,5.51,8.0,890.2077151335312,544.464609800363,375.0,31,8,29,7,7,15
Laquon Treadwell,ATL,WR,3000.0,Laquon Treadwell (16006602) (LOCKED),6.47,3.9,5.49,7.67,2.8,4.34,6.319999999999999,3.8,5.49,7.67,769.2307692307693,546.4480874316939,391.1342894393742,32,8,30,7,7,15
Robby Anderson,CAR,WR,5500.0,Robby Anderson (16006388) (LOCKED),15.14,6.29,9.37,11.200000000000001,4.79,7.72,9.450000000000001,6.09,9.27,11.200000000000001,874.4038155802862,586.9797225186767,491.0714285714285,24,7,31,8,7,15
Calvin Ridley,ATL,WR,8500.0,Calvin Ridley (16006354) (LOCKED),21.06,9.469999999999999,14.18,19.54,7.92,11.93,16.54,9.469999999999999,14.18,19.54,897.5712777191131,599.4358251057828,435.0051177072672,11,5,32,8,5,13
Zach Ertz,PHI,TE,3100.0,Zach Ertz (16006662) (LOCKED),7.29,13.810000000000002,16.65,22.0,10.960000000000003,13.4,18.0,13.710000000000003,16.65,22.0,224.475018102824,186.1861861861862,140.9090909090909,2,2,1,1,1,3
David Njoku,CLE,TE,2500.0,David Njoku (16006756) (LOCKED),4.9,9.09,11.58,17.0,7.240000000000001,9.48,14.5,9.09,11.58,17.0,275.027502750275,215.88946459412782,147.05882352941177,5,4,2,2,2,6
Jimmy Graham,CHI,TE,3100.0,Jimmy Graham (16006664) (LOCKED),9.41,9.9,12.36,15.73,8.05,10.309999999999999,13.38,9.8,12.36,15.73,313.1313131313131,250.80906148867314,197.07565162110618,4,4,3,3,3,7
Greg Olsen,SEA,TE,2500.0,Greg Olsen (16006696) (LOCKED),4.9,6.5,8.95,11.030000000000001,5.0,7.2,8.98,6.5,8.95,11.030000000000001,384.61538461538464,279.3296089385475,226.65457842248412,8,6,4,4,4,10
Trey Burton,IND,TE,2700.0,Trey Burton (16006680) (LOCKED),6.94,6.76,9.5,11.21,5.21,7.75,9.21,6.76,9.5,11.21,399.40828402366867,284.2105263157895,240.85637823371988,6,5,5,4,4,9
CJ Uzomah,CIN,TE,2500.0,C.J. Uzomah (16006726) (LOCKED),11.35,6.410000000000001,8.690000000000001,13.2,5.16,7.19,11.5,6.410000000000001,8.690000000000001,13.2,390.0156006240249,287.686996547756,189.3939393939394,9,6,6,4,4,10
Eric Ebron,PIT,TE,4200.0,Eric Ebron (16006646) (LOCKED),9.52,11.610000000000001,13.770000000000001,17.0,9.46,11.42,14.5,11.610000000000001,13.770000000000001,17.0,361.7571059431524,305.0108932461873,247.05882352941177,3,3,7,5,3,8
Ricky Seals-Jones,KC,TE,2500.0,Ricky Seals-Jones (16006782) (LOCKED),0.0,3.4499999999999997,6.840000000000001,8.9,2.5,5.590000000000001,7.4,3.3499999999999996,6.840000000000001,8.9,724.6376811594204,365.4970760233918,280.8988764044944,11,7,8,6,6,13
