,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
17,DK Metcalf,SEA,87.0,70.0,78.5,1117.1,902.0,1057.2,8.0,5.1,6.8,1.0,0.0,0.4,6.0,0.0,2.2,0.0,0.0,0.0,0.0,1.0,0.6,158.3,137.5,145.8,draft,2022,WR
18,Diontae Johnson,PIT,100.1,86.4,94.8,1099.0,971.0,1045.6,8.0,4.1,6.1,5.0,3.9,4.2,43.0,26.4,31.7,0.3,0.0,0.1,0.0,2.0,1.0,156.5,132.2,142.8,draft,2022,WR
19,Terry McLaurin,WAS,86.7,62.5,78.5,1139.0,915.5,1071.2,6.9,5.0,5.9,1.0,0.0,0.4,13.0,0.0,4.6,0.0,0.0,0.0,0.0,1.0,0.4,152.8,122.4,141.9,draft,2022,WR
20,Courtland Sutton,DEN,83.7,51.7,70.8,1139.0,743.6,1004.2,8.0,4.5,6.8,1.0,0.0,0.2,3.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.5,153.6,101.6,140.1,draft,2022,WR
21,Jaylen Waddle,MIA,103.0,71.0,89.5,1080.0,907.0,999.1,7.0,5.0,6.1,8.0,0.0,3.3,47.8,0.0,19.1,1.0,0.0,0.3,0.0,1.0,0.6,156.4,120.7,139.5,draft,2022,WR
22,Michael Thomas,NO,95.0,76.1,85.5,1172.0,820.0,995.1,9.0,5.0,6.5,1.0,0.0,0.2,0.0,-4.0,-0.8,0.0,0.0,0.0,0.0,1.0,0.5,158.8,111.7,137.3,draft,2022,WR
23,Amon-Ra St,DET,99.0,80.2,87.6,1077.7,850.0,951.3,7.3,5.0,6.0,12.5,1.1,6.6,79.0,7.0,46.6,1.0,0.0,0.4,0.0,1.0,0.5,155.7,127.5,137.0,draft,2022,WR
24,Jerry Jeudy,DEN,81.0,63.3,75.3,1089.3,864.6,1024.6,7.1,4.3,5.8,4.1,0.0,1.2,24.3,0.0,5.5,0.2,0.0,0.0,0.0,1.0,0.6,150.1,112.9,136.8,draft,2022,WR
25,Darnell Mooney,CHI,83.0,72.9,77.9,1087.2,945.0,1029.5,5.7,4.0,4.8,7.7,0.0,5.0,42.0,0.0,26.1,1.0,0.0,0.2,0.0,1.0,0.5,141.8,132.5,135.1,draft,2022,WR
26,Tyler Lockett,SEA,83.2,66.0,74.2,1263.7,874.0,995.7,8.9,3.7,5.6,4.4,0.0,2.1,27.3,0.0,11.8,0.3,0.0,0.1,0.0,1.0,0.5,181.5,117.4,133.6,draft,2022,WR
