,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
152,Adam Prentice,NO,4.4,4.4,4.4,18.7,18.7,18.7,0.1,0.1,0.1,2.0,2.0,2.0,14.7,14.7,14.7,0.1,0.1,0.1,0.0,0.0,0.0,5.0,5.0,5.0,draft,2022,RB
153,Reggie Gilliam,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,4.4,32.5,32.5,32.5,0.2,0.2,0.2,0.0,0.0,0.0,4.7,4.7,4.6,draft,2022,RB
154,Nick Bawden,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.3,4.3,31.4,31.4,31.4,0.2,0.2,0.2,0.0,0.0,0.0,4.4,4.4,4.4,draft,2022,RB
155,Trayveon Williams,CIN,8.8,0.0,2.9,35.8,0.0,11.9,0.2,0.0,0.1,4.4,0.0,2.8,29.7,0.0,19.4,0.2,0.0,0.1,0.0,0.0,0.0,8.9,3.7,4.1,draft,2022,RB
156,Mekhi Sargent,JAC,4.5,0.0,2.2,17.8,0.0,8.9,0.2,0.0,0.1,4.1,0.0,2.1,31.9,0.0,15.9,0.2,0.0,0.1,0.0,0.0,0.0,6.6,6.6,3.5,draft,2022,RB
157,Godwin Igwebuike,DET,4.5,0.0,2.2,18.3,0.0,9.1,0.2,0.0,0.1,4.1,0.0,2.0,30.5,0.0,15.2,0.2,0.0,0.1,0.0,0.0,0.0,6.5,6.5,3.5,draft,2022,RB
158,Jason Huntley,PHI,8.8,0.0,2.9,37.8,0.0,12.6,0.3,0.0,0.1,3.4,0.0,1.1,23.7,0.0,7.9,0.2,0.0,0.1,0.1,0.1,0.1,8.9,0.0,2.9,draft,2022,RB
159,Gabe Nabers,LAC,4.4,4.4,4.4,18.9,18.9,18.9,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,2.9,draft,2022,RB
160,John Lovett,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
161,Spencer Brown,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
162,Gerrid Doaks,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
163,Nate McCrary,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
164,John Kelly,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
165,Taiwan Jones,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
166,Salvon Ahmed,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
167,Malik Davis,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
168,Jonathan Williams,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
169,Reggie Bonnafon,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,RB
