,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
55,Jordan Love,GB,1.3,1.3,1.3,0.7,0.7,0.7,14.6,7.0,10.8,0.1,0.0,0.1,0.0,0.1,0.0,0.3,0.3,0.3,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.8,3,2022,QB
56,Desmond Ridder,ATL,1.0,1.0,1.0,0.6,0.6,0.6,22.3,7.1,14.7,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.8,3,2022,QB
57,Trevor Siemian,CHI,1.1,1.1,1.1,0.7,0.7,0.7,15.0,8.0,11.5,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.7,3,2022,QB
58,Brett Rypien,DEN,1.3,1.3,1.3,0.8,0.8,0.8,10.3,9.0,9.6,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.7,3,2022,QB
59,Brian Hoyer,NE,1.3,1.3,1.3,0.8,0.8,0.8,9.6,9.6,9.6,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,3,2022,QB
60,Nick Mullens,MIN,1.4,1.4,1.4,0.9,0.9,0.9,12.1,12.1,12.1,0.1,0.0,0.1,0.0,0.1,0.0,0.3,0.3,0.3,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.7,0.7,3,2022,QB
61,Kyle Allen,HOU,1.3,1.3,1.3,0.8,0.8,0.8,8.6,8.6,8.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,3,2022,QB
62,Will Grier,DAL,1.1,1.1,1.1,0.7,0.7,0.7,15.5,7.2,11.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.5,3,2022,QB
63,John Wolford,LAR,1.5,1.5,1.5,0.9,0.9,0.9,10.5,10.5,10.5,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.3,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,3,2022,QB
64,Kyle Trask,TB,1.2,1.2,1.2,0.7,0.7,0.7,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,3,2022,QB
65,Armani Rogers,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,3,2022,QB
