Matthew Stafford (15607542),Alexander Mattison (15607599),Devonta Freeman (15607639),Terry McLaurin (15607841),Kenny Golladay (15607831),Adam Thielen (15607807),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,TE,Eric Ebron (15608131),Eric Ebron,15608131,TE/FLEX,4100,CLE@PIT 10/18/2020 01:00PM ET,PIT,8.65
,,,,,,,,,,QB,Tim Boyle (15607577),Tim Boyle,15607577,QB,4100,GB@TB 10/18/2020 04:25PM ET,GB,-0.13
,,,,,,,,,,DST,Patriots  (15608282),Patriots ,15608282,DST,4100,DEN@NE 10/18/2020 01:00PM ET,NE,9
,,,,,,,,,,QB,Trace McSorley (15607589),Trace McSorley,15607589,QB,4000,BAL@PHI 10/18/2020 01:00PM ET,BAL,0
,,,,,,,,,,QB,Nate Sudfeld (15607590),Nate Sudfeld,15607590,QB,4000,BAL@PHI 10/18/2020 01:00PM ET,PHI,0
,,,,,,,,,,RB,Gus Edwards (15607791),Gus Edwards,15607791,RB/FLEX,4000,BAL@PHI 10/18/2020 01:00PM ET,BAL,3.84
,,,,,,,,,,RB,Justice Hill (15607793),Justice Hill,15607793,RB/FLEX,4000,BAL@PHI 10/18/2020 01:00PM ET,BAL,0
,,,,,,,,,,RB,Patrick Ricard (15607795),Patrick Ricard,15607795,RB/FLEX,4000,BAL@PHI 10/18/2020 01:00PM ET,BAL,1.92
,,,,,,,,,,RB,Boston Scott (15607797),Boston Scott,15607797,RB/FLEX,4000,BAL@PHI 10/18/2020 01:00PM ET,PHI,3.12
,,,,,,,,,,RB,Corey Clement (15607799),Corey Clement,15607799,RB/FLEX,4000,BAL@PHI 10/18/2020 01:00PM ET,PHI,1.3
,,,,,,,,,,RB,Jason Huntley (15607801),Jason Huntley,15607801,RB/FLEX,4000,BAL@PHI 10/18/2020 01:00PM ET,PHI,0.1
,,,,,,,,,,QB,James Morgan (15607588),James Morgan,15607588,QB,4000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,0
,,,,,,,,,,RB,Frank Gore (15607775),Frank Gore,15607775,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,4.7
,,,,,,,,,,RB,La'Mical Perine (15607777),La'Mical Perine,15607777,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,1.88
,,,,,,,,,,RB,Ty Johnson (15607779),Ty Johnson,15607779,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,0
,,,,,,,,,,RB,Patrick Laird (15607781),Patrick Laird,15607781,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0.97
,,,,,,,,,,RB,Jordan Howard (15607783),Jordan Howard,15607783,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,5.02
,,,,,,,,,,RB,Malcolm Perry (15607785),Malcolm Perry,15607785,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0
,,,,,,,,,,RB,Salvon Ahmed (15607787),Salvon Ahmed,15607787,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0
,,,,,,,,,,RB,Chandler Cox (15607789),Chandler Cox,15607789,RB/FLEX,4000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0.58
,,,,,,,,,,QB,Jacob Eason (15607587),Jacob Eason,15607587,QB,4000,CIN@IND 10/18/2020 01:00PM ET,IND,0
,,,,,,,,,,RB,Nyheim Hines (15607763),Nyheim Hines,15607763,RB/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,IND,10
,,,,,,,,,,RB,Jordan Wilkins (15607765),Jordan Wilkins,15607765,RB/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,IND,2.74
,,,,,,,,,,RB,Marlon Mack (15607767),Marlon Mack,15607767,RB/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,IND,8.6
,,,,,,,,,,RB,Giovani Bernard (15607769),Giovani Bernard,15607769,RB/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,CIN,5.22
,,,,,,,,,,RB,Samaje Perine (15607771),Samaje Perine,15607771,RB/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,CIN,0
,,,,,,,,,,RB,Trayveon Williams (15607773),Trayveon Williams,15607773,RB/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,CIN,0
,,,,,,,,,,WR,Michael Pittman Jr. (15607911),Michael Pittman Jr.,15607911,WR/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,IND,5.43
,,,,,,,,,,TE,Mo Alie-Cox (15608133),Mo Alie-Cox,15608133,TE/FLEX,4000,CIN@IND 10/18/2020 01:00PM ET,IND,9.08
,,,,,,,,,,DST,Colts  (15608283),Colts ,15608283,DST,4000,CIN@IND 10/18/2020 01:00PM ET,IND,12.6
,,,,,,,,,,QB,Jake Luton (15607586),Jake Luton,15607586,QB,4000,DET@JAX 10/18/2020 01:00PM ET,JAX,0
,,,,,,,,,,RB,Chris Thompson (15607747),Chris Thompson,15607747,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,JAX,6.06
,,,,,,,,,,RB,Dare Ogunbowale (15607749),Dare Ogunbowale,15607749,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,JAX,0
,,,,,,,,,,RB,Ryquell Armstead (15607751),Ryquell Armstead,15607751,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,JAX,0
,,,,,,,,,,RB,Devine Ozigbo (15607753),Devine Ozigbo,15607753,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,JAX,0
,,,,,,,,,,RB,Bruce Miller (15607755),Bruce Miller,15607755,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,JAX,0.3
,,,,,,,,,,RB,Kerryon Johnson (15607757),Kerryon Johnson,15607757,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,DET,4.2
,,,,,,,,,,RB,Bo Scarbrough (15607759),Bo Scarbrough,15607759,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,DET,0
,,,,,,,,,,RB,Jason Cabinda (15607761),Jason Cabinda,15607761,RB/FLEX,4000,DET@JAX 10/18/2020 01:00PM ET,DET,0.35
,,,,,,,,,,RB,Mike Boone (15607733),Mike Boone,15607733,RB/FLEX,4000,ATL@MIN 10/18/2020 01:00PM ET,MIN,0.38
,,,,,,,,,,RB,Ameer Abdullah (15607735),Ameer Abdullah,15607735,RB/FLEX,4000,ATL@MIN 10/18/2020 01:00PM ET,MIN,0
,,,,,,,,,,RB,C.J. Ham (15607737),C.J. Ham,15607737,RB/FLEX,4000,ATL@MIN 10/18/2020 01:00PM ET,MIN,0.54
,,,,,,,,,,RB,Brian Hill (15607739),Brian Hill,15607739,RB/FLEX,4000,ATL@MIN 10/18/2020 01:00PM ET,ATL,7.04
,,,,,,,,,,RB,Ito Smith (15607741),Ito Smith,15607741,RB/FLEX,4000,ATL@MIN 10/18/2020 01:00PM ET,ATL,2.38
,,,,,,,,,,RB,Qadree Ollison (15607743),Qadree Ollison,15607743,RB/FLEX,4000,ATL@MIN 10/18/2020 01:00PM ET,ATL,0
,,,,,,,,,,RB,Keith Smith (15607745),Keith Smith,15607745,RB/FLEX,4000,ATL@MIN 10/18/2020 01:00PM ET,ATL,0.82
,,,,,,,,,,RB,Peyton Barber (15607721),Peyton Barber,15607721,RB/FLEX,4000,WAS@NYG 10/18/2020 01:00PM ET,WAS,4.02
,,,,,,,,,,RB,Bryce Love (15607723),Bryce Love,15607723,RB/FLEX,4000,WAS@NYG 10/18/2020 01:00PM ET,WAS,0
,,,,,,,,,,RB,Wayne Gallman Jr. (15607725),Wayne Gallman Jr.,15607725,RB/FLEX,4000,WAS@NYG 10/18/2020 01:00PM ET,NYG,3.68
,,,,,,,,,,RB,Dion Lewis (15607727),Dion Lewis,15607727,RB/FLEX,4000,WAS@NYG 10/18/2020 01:00PM ET,NYG,4.72
,,,,,,,,,,RB,Saquon Barkley (15607729),Saquon Barkley,15607729,RB/FLEX,4000,WAS@NYG 10/18/2020 01:00PM ET,NYG,7.7
,,,,,,,,,,RB,Elijhaa Penny (15607731),Elijhaa Penny,15607731,RB/FLEX,4000,WAS@NYG 10/18/2020 01:00PM ET,NYG,0.06
,,,,,,,,,,RB,Trenton Cannon (15607711),Trenton Cannon,15607711,RB/FLEX,4000,CHI@CAR 10/18/2020 01:00PM ET,CAR,-0.03
,,,,,,,,,,RB,Alex Armah (15607713),Alex Armah,15607713,RB/FLEX,4000,CHI@CAR 10/18/2020 01:00PM ET,CAR,0.58
,,,,,,,,,,RB,Ryan Nall (15607715),Ryan Nall,15607715,RB/FLEX,4000,CHI@CAR 10/18/2020 01:00PM ET,CHI,0.24
,,,,,,,,,,RB,Artavis Pierce (15607717),Artavis Pierce,15607717,RB/FLEX,4000,CHI@CAR 10/18/2020 01:00PM ET,CHI,0
,,,,,,,,,,RB,Tarik Cohen (15607719),Tarik Cohen,15607719,RB/FLEX,4000,CHI@CAR 10/18/2020 01:00PM ET,CHI,5.83
,,,,,,,,,,RB,Darrynton Evans (15607695),Darrynton Evans,15607695,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,TEN,1.05
,,,,,,,,,,RB,Jeremy McNichols (15607697),Jeremy McNichols,15607697,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,TEN,1.58
,,,,,,,,,,RB,Senorise Perry (15607699),Senorise Perry,15607699,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,TEN,0.45
,,,,,,,,,,RB,Duke Johnson (15607701),Duke Johnson,15607701,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,HOU,3.93
,,,,,,,,,,RB,C.J. Prosise (15607703),C.J. Prosise,15607703,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,HOU,0.03
,,,,,,,,,,RB,Buddy Howell (15607705),Buddy Howell,15607705,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,HOU,0
,,,,,,,,,,RB,Scottie Phillips (15607707),Scottie Phillips,15607707,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,HOU,0
,,,,,,,,,,RB,Cullen Gillaspia (15607709),Cullen Gillaspia,15607709,RB/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,HOU,0.8
,,,,,,,,,,WR,Adam Humphries (15607909),Adam Humphries,15607909,WR/FLEX,4000,HOU@TEN 10/18/2020 01:00PM ET,TEN,11.53
,,,,,,,,,,QB,Josh Dobbs (15607585),Josh Dobbs,15607585,QB,4000,CLE@PIT 10/18/2020 01:00PM ET,PIT,0
,,,,,,,,,,RB,Benny Snell Jr. (15607681),Benny Snell Jr.,15607681,RB/FLEX,4000,CLE@PIT 10/18/2020 01:00PM ET,PIT,4.35
,,,,,,,,,,RB,Anthony McFarland Jr. (15607683),Anthony McFarland Jr.,15607683,RB/FLEX,4000,CLE@PIT 10/18/2020 01:00PM ET,PIT,3.25
,,,,,,,,,,RB,Jaylen Samuels (15607685),Jaylen Samuels,15607685,RB/FLEX,4000,CLE@PIT 10/18/2020 01:00PM ET,PIT,0.93
,,,,,,,,,,RB,Derek Watt (15607687),Derek Watt,15607687,RB/FLEX,4000,CLE@PIT 10/18/2020 01:00PM ET,PIT,0
,,,,,,,,,,RB,D'Ernest Johnson (15607689),D'Ernest Johnson,15607689,RB/FLEX,4000,CLE@PIT 10/18/2020 01:00PM ET,CLE,2.92
,,,,,,,,,,RB,Dontrell Hilliard (15607691),Dontrell Hilliard,15607691,RB/FLEX,4000,CLE@PIT 10/18/2020 01:00PM ET,CLE,3.1
,,,,,,,,,,RB,Andy Janovich (15607693),Andy Janovich,15607693,RB/FLEX,4000,CLE@PIT 10/18/2020 01:00PM ET,CLE,0.74
,,,,,,,,,,QB,Ryan Griffin (15607583),Ryan Griffin,15607583,QB,4000,GB@TB 10/18/2020 04:25PM ET,TB,0
,,,,,,,,,,QB,Jordan Love (15607584),Jordan Love,15607584,QB,4000,GB@TB 10/18/2020 04:25PM ET,GB,0
,,,,,,,,,,RB,LeSean McCoy (15607667),LeSean McCoy,15607667,RB/FLEX,4000,GB@TB 10/18/2020 04:25PM ET,TB,3.58
,,,,,,,,,,RB,Ke'Shawn Vaughn (15607669),Ke'Shawn Vaughn,15607669,RB/FLEX,4000,GB@TB 10/18/2020 04:25PM ET,TB,4.03
,,,,,,,,,,RB,T.J. Logan (15607671),T.J. Logan,15607671,RB/FLEX,4000,GB@TB 10/18/2020 04:25PM ET,TB,0
,,,,,,,,,,RB,Jamaal Williams (15607673),Jamaal Williams,15607673,RB/FLEX,4000,GB@TB 10/18/2020 04:25PM ET,GB,9.42
,,,,,,,,,,RB,AJ Dillon (15607675),AJ Dillon,15607675,RB/FLEX,4000,GB@TB 10/18/2020 04:25PM ET,GB,0.85
,,,,,,,,,,RB,Tyler Ervin (15607677),Tyler Ervin,15607677,RB/FLEX,4000,GB@TB 10/18/2020 04:25PM ET,GB,2.98
,,,,,,,,,,RB,Patrick Taylor (15607679),Patrick Taylor,15607679,RB/FLEX,4000,GB@TB 10/18/2020 04:25PM ET,GB,0
,,,,,,,,,,RB,Sony Michel (15607657),Sony Michel,15607657,RB/FLEX,4000,DEN@NE 10/18/2020 01:00PM ET,NE,10.2
,,,,,,,,,,RB,J.J. Taylor (15607659),J.J. Taylor,15607659,RB/FLEX,4000,DEN@NE 10/18/2020 01:00PM ET,NE,2.8
,,,,,,,,,,RB,Jakob Johnson (15607661),Jakob Johnson,15607661,RB/FLEX,4000,DEN@NE 10/18/2020 01:00PM ET,NE,2.18
,,,,,,,,,,RB,Royce Freeman (15607663),Royce Freeman,15607663,RB/FLEX,4000,DEN@NE 10/18/2020 01:00PM ET,DEN,3.22
,,,,,,,,,,RB,LeVante Bellamy (15607665),LeVante Bellamy,15607665,RB/FLEX,4000,DEN@NE 10/18/2020 01:00PM ET,DEN,0
,,,,,,,,,,WR,DeSean Jackson (15607915),DeSean Jackson,15607915,WR/FLEX,3900,BAL@PHI 10/18/2020 01:00PM ET,PHI,7.37
,,,,,,,,,,WR,A.J. Green (15607913),A.J. Green,15607913,WR/FLEX,3900,CIN@IND 10/18/2020 01:00PM ET,CIN,5.18
,,,,,,,,,,TE,Austin Hooper (15608135),Austin Hooper,15608135,TE/FLEX,3900,CLE@PIT 10/18/2020 01:00PM ET,CLE,7.66
,,,,,,,,,,WR,Miles Boykin (15607919),Miles Boykin,15607919,WR/FLEX,3800,BAL@PHI 10/18/2020 01:00PM ET,BAL,4.22
,,,,,,,,,,WR,Parris Campbell (15607917),Parris Campbell,15607917,WR/FLEX,3800,CIN@IND 10/18/2020 01:00PM ET,IND,7.35
,,,,,,,,,,TE,Darren Fells (15608137),Darren Fells,15608137,TE/FLEX,3800,HOU@TEN 10/18/2020 01:00PM ET,HOU,6.4
,,,,,,,,,,WR,Jalen Reagor (15607925),Jalen Reagor,15607925,WR/FLEX,3700,BAL@PHI 10/18/2020 01:00PM ET,PHI,7.3
,,,,,,,,,,TE,Kyle Rudolph (15608139),Kyle Rudolph,15608139,TE/FLEX,3700,ATL@MIN 10/18/2020 01:00PM ET,MIN,4.12
,,,,,,,,,,WR,Equanimeous St. Brown (15607923),Equanimeous St. Brown,15607923,WR/FLEX,3700,GB@TB 10/18/2020 04:25PM ET,GB,0
,,,,,,,,,,DST,Packers  (15608284),Packers ,15608284,DST,3700,GB@TB 10/18/2020 04:25PM ET,GB,6.25
,,,,,,,,,,WR,KJ Hamler (15607921),KJ Hamler,15607921,WR/FLEX,3700,DEN@NE 10/18/2020 01:00PM ET,DEN,4.83
,,,,,,,,,,WR,Chris Conley (15607929),Chris Conley,15607929,WR/FLEX,3600,DET@JAX 10/18/2020 01:00PM ET,JAX,6.4
,,,,,,,,,,WR,Dontrelle Inman (15607927),Dontrelle Inman,15607927,WR/FLEX,3600,WAS@NYG 10/18/2020 01:00PM ET,WAS,6.86
,,,,,,,,,,TE,David Njoku (15608141),David Njoku,15608141,TE/FLEX,3600,CLE@PIT 10/18/2020 01:00PM ET,CLE,7.8
,,,,,,,,,,DST,Steelers  (15608285),Steelers ,15608285,DST,3600,CLE@PIT 10/18/2020 01:00PM ET,PIT,9
,,,,,,,,,,WR,Willie Snead IV (15607933),Willie Snead IV,15607933,WR/FLEX,3500,BAL@PHI 10/18/2020 01:00PM ET,BAL,5.54
,,,,,,,,,,WR,Isaiah Ford (15607931),Isaiah Ford,15607931,WR/FLEX,3500,NYJ@MIA 10/18/2020 04:05PM ET,MIA,6.88
,,,,,,,,,,TE,Cameron Brate (15608143),Cameron Brate,15608143,TE/FLEX,3500,GB@TB 10/18/2020 04:25PM ET,TB,3.34
,,,,,,,,,,WR,Damiere Byrd (15607935),Damiere Byrd,15607935,WR/FLEX,3500,DEN@NE 10/18/2020 01:00PM ET,NE,7.98
,,,,,,,,,,DST,Broncos  (15608286),Broncos ,15608286,DST,3500,DEN@NE 10/18/2020 01:00PM ET,DEN,4.75
,,,,,,,,,,WR,Braxton Berrios (15607943),Braxton Berrios,15607943,WR/FLEX,3400,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,7.12
,,,,,,,,,,TE,Drew Sample (15608147),Drew Sample,15608147,TE/FLEX,3400,CIN@IND 10/18/2020 01:00PM ET,CIN,5.24
,,,,,,,,,,TE,Tyler Eifert (15608145),Tyler Eifert,15608145,TE/FLEX,3400,DET@JAX 10/18/2020 01:00PM ET,JAX,5.26
,,,,,,,,,,WR,Steven Sims Jr. (15607941),Steven Sims Jr.,15607941,WR/FLEX,3400,WAS@NYG 10/18/2020 01:00PM ET,WAS,5.1
,,,,,,,,,,DST,Bears  (15608287),Bears ,15608287,DST,3400,CHI@CAR 10/18/2020 01:00PM ET,CHI,5.4
,,,,,,,,,,WR,Kenny Stills (15607939),Kenny Stills,15607939,WR/FLEX,3400,HOU@TEN 10/18/2020 01:00PM ET,HOU,4.88
,,,,,,,,,,WR,Tyler Johnson (15607937),Tyler Johnson,15607937,WR/FLEX,3400,GB@TB 10/18/2020 04:25PM ET,TB,3.37
,,,,,,,,,,TE,Logan Thomas (15608151),Logan Thomas,15608151,TE/FLEX,3300,WAS@NYG 10/18/2020 01:00PM ET,WAS,6.12
,,,,,,,,,,DST,WAS Football Team  (15608288),WAS Football Team ,15608288,DST,3300,WAS@NYG 10/18/2020 01:00PM ET,WAS,5.2
,,,,,,,,,,TE,Jordan Akins (15608149),Jordan Akins,15608149,TE/FLEX,3300,HOU@TEN 10/18/2020 01:00PM ET,HOU,9.2
,,,,,,,,,,TE,Chris Herndon (15608153),Chris Herndon,15608153,TE/FLEX,3200,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,4.36
,,,,,,,,,,WR,Olamide Zaccheaus (15607949),Olamide Zaccheaus,15607949,WR/FLEX,3200,ATL@MIN 10/18/2020 01:00PM ET,ATL,5.8
,,,,,,,,,,DST,Giants  (15608289),Giants ,15608289,DST,3200,WAS@NYG 10/18/2020 01:00PM ET,NYG,5.4
,,,,,,,,,,WR,Cordarrelle Patterson (15607947),Cordarrelle Patterson,15607947,WR/FLEX,3200,CHI@CAR 10/18/2020 01:00PM ET,CHI,3.94
,,,,,,,,,,WR,Kalif Raymond (15607945),Kalif Raymond,15607945,WR/FLEX,3200,HOU@TEN 10/18/2020 01:00PM ET,TEN,5.52
,,,,,,,,,,TE,Trey Burton (15608155),Trey Burton,15608155,TE/FLEX,3100,CIN@IND 10/18/2020 01:00PM ET,IND,5.95
,,,,,,,,,,DST,Buccaneers  (15608290),Buccaneers ,15608290,DST,3100,GB@TB 10/18/2020 04:25PM ET,TB,8.8
,,,,,,,,,,TE,Nick Vannett (15608157),Nick Vannett,15608157,TE/FLEX,3100,DEN@NE 10/18/2020 01:00PM ET,DEN,0.7
,,,,,,,,,,WR,Chris Moore (15608091),Chris Moore,15608091,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,BAL,0
,,,,,,,,,,WR,Devin Duvernay (15608093),Devin Duvernay,15608093,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,BAL,4.62
,,,,,,,,,,WR,James Proche (15608095),James Proche,15608095,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,BAL,0
,,,,,,,,,,WR,Antoine Wesley (15608097),Antoine Wesley,15608097,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,BAL,0
,,,,,,,,,,WR,DeAndrew White (15608099),DeAndrew White,15608099,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,BAL,0
,,,,,,,,,,WR,John Hightower (15608101),John Hightower,15608101,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,PHI,2.94
,,,,,,,,,,WR,JJ Arcega-Whiteside (15608103),JJ Arcega-Whiteside,15608103,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,PHI,1.18
,,,,,,,,,,WR,Quez Watkins (15608105),Quez Watkins,15608105,WR/FLEX,3000,BAL@PHI 10/18/2020 01:00PM ET,PHI,0
,,,,,,,,,,WR,Chris Hogan (15608075),Chris Hogan,15608075,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,5.16
,,,,,,,,,,WR,Jeff Smith (15608077),Jeff Smith,15608077,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,10.2
,,,,,,,,,,WR,Vyncint Smith (15608079),Vyncint Smith,15608079,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,0
,,,,,,,,,,WR,Denzel Mims (15608081),Denzel Mims,15608081,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,0
,,,,,,,,,,WR,Josh Malone (15608083),Josh Malone,15608083,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,1.7
,,,,,,,,,,WR,Lynn Bowden Jr. (15608085),Lynn Bowden Jr.,15608085,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0.6
,,,,,,,,,,WR,Jakeem Grant (15608087),Jakeem Grant,15608087,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,3.9
,,,,,,,,,,WR,Mack Hollins (15608089),Mack Hollins,15608089,WR/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0
,,,,,,,,,,TE,Ryan Griffin (15608161),Ryan Griffin,15608161,TE/FLEX,3000,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,1
,,,,,,,,,,WR,Reece Fountain (15608061),Reece Fountain,15608061,WR/FLEX,3000,CIN@IND 10/18/2020 01:00PM ET,IND,1.43
,,,,,,,,,,WR,Ashton Dulin (15608063),Ashton Dulin,15608063,WR/FLEX,3000,CIN@IND 10/18/2020 01:00PM ET,IND,1.26
,,,,,,,,,,WR,Dezmon Patmon (15608065),Dezmon Patmon,15608065,WR/FLEX,3000,CIN@IND 10/18/2020 01:00PM ET,IND,0
,,,,,,,,,,WR,Mike Thomas (15608067),Mike Thomas,15608067,WR/FLEX,3000,CIN@IND 10/18/2020 01:00PM ET,CIN,4.38
,,,,,,,,,,WR,Auden Tate (15608069),Auden Tate,15608069,WR/FLEX,3000,CIN@IND 10/18/2020 01:00PM ET,CIN,2.4
,,,,,,,,,,WR,Alex Erickson (15608071),Alex Erickson,15608071,WR/FLEX,3000,CIN@IND 10/18/2020 01:00PM ET,CIN,0.52
,,,,,,,,,,WR,John Ross III (15608073),John Ross III,15608073,WR/FLEX,3000,CIN@IND 10/18/2020 01:00PM ET,CIN,1.85
,,,,,,,,,,WR,Collin Johnson (15608051),Collin Johnson,15608051,WR/FLEX,3000,DET@JAX 10/18/2020 01:00PM ET,JAX,3.14
,,,,,,,,,,WR,Dede Westbrook (15608053),Dede Westbrook,15608053,WR/FLEX,3000,DET@JAX 10/18/2020 01:00PM ET,JAX,1.4
,,,,,,,,,,WR,Quintez Cephus (15608055),Quintez Cephus,15608055,WR/FLEX,3000,DET@JAX 10/18/2020 01:00PM ET,DET,3.92
,,,,,,,,,,WR,Marvin Hall (15608057),Marvin Hall,15608057,WR/FLEX,3000,DET@JAX 10/18/2020 01:00PM ET,DET,3.25
,,,,,,,,,,WR,Jamal Agnew (15608059),Jamal Agnew,15608059,WR/FLEX,3000,DET@JAX 10/18/2020 01:00PM ET,DET,1.62
,,,,,,,,,,TE,James O'Shaughnessy (15608159),James O'Shaughnessy,15608159,TE/FLEX,3000,DET@JAX 10/18/2020 01:00PM ET,JAX,4.7
,,,,,,,,,,DST,Lions  (15608291),Lions ,15608291,DST,3000,DET@JAX 10/18/2020 01:00PM ET,DET,1.25
,,,,,,,,,,WR,Chad Beebe (15608037),Chad Beebe,15608037,WR/FLEX,3000,ATL@MIN 10/18/2020 01:00PM ET,MIN,1.27
,,,,,,,,,,WR,Olabisi Johnson (15608039),Olabisi Johnson,15608039,WR/FLEX,3000,ATL@MIN 10/18/2020 01:00PM ET,MIN,2.86
,,,,,,,,,,WR,Tajae Sharpe (15608041),Tajae Sharpe,15608041,WR/FLEX,3000,ATL@MIN 10/18/2020 01:00PM ET,MIN,0
,,,,,,,,,,WR,Dan Chisena (15608043),Dan Chisena,15608043,WR/FLEX,3000,ATL@MIN 10/18/2020 01:00PM ET,MIN,0
,,,,,,,,,,WR,K.J. Osborn (15608045),K.J. Osborn,15608045,WR/FLEX,3000,ATL@MIN 10/18/2020 01:00PM ET,MIN,0
,,,,,,,,,,WR,Christian Blake (15608047),Christian Blake,15608047,WR/FLEX,3000,ATL@MIN 10/18/2020 01:00PM ET,ATL,1.54
,,,,,,,,,,WR,Brandon Powell (15608049),Brandon Powell,15608049,WR/FLEX,3000,ATL@MIN 10/18/2020 01:00PM ET,ATL,1.14
,,,,,,,,,,WR,Isaiah Wright (15608019),Isaiah Wright,15608019,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,WAS,3.8
,,,,,,,,,,WR,Antonio Gandy-Golden (15608021),Antonio Gandy-Golden,15608021,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,WAS,0.88
,,,,,,,,,,WR,Cam Sims (15608023),Cam Sims,15608023,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,WAS,0.74
,,,,,,,,,,WR,Kelvin Harmon (15608025),Kelvin Harmon,15608025,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,WAS,0
,,,,,,,,,,WR,Emanuel Hall (15608027),Emanuel Hall,15608027,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,WAS,0
,,,,,,,,,,WR,C.J. Board (15608029),C.J. Board,15608029,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,NYG,2.42
,,,,,,,,,,WR,Damion Ratley (15608031),Damion Ratley,15608031,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,NYG,2.06
,,,,,,,,,,WR,David Sills (15608033),David Sills,15608033,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,NYG,0
,,,,,,,,,,WR,Cody Core (15608035),Cody Core,15608035,WR/FLEX,3000,WAS@NYG 10/18/2020 01:00PM ET,NYG,0
,,,,,,,,,,WR,Seth Roberts (15608001),Seth Roberts,15608001,WR/FLEX,3000,CHI@CAR 10/18/2020 01:00PM ET,CAR,1.78
,,,,,,,,,,WR,Pharoh Cooper (15608003),Pharoh Cooper,15608003,WR/FLEX,3000,CHI@CAR 10/18/2020 01:00PM ET,CAR,0.44
,,,,,,,,,,WR,Brandon Zylstra (15608005),Brandon Zylstra,15608005,WR/FLEX,3000,CHI@CAR 10/18/2020 01:00PM ET,CAR,0
