,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
122,Alec Ingold,LV,4.5,4.4,4.4,19.3,18.3,18.8,0.2,0.1,0.2,8.4,4.8,6.6,73.8,35.1,54.5,0.4,0.2,0.3,0.1,0.1,0.1,12.2,7.5,9.9,dynasty_draft,2021,RB
123,CJ Ham,MIN,4.8,4.6,4.7,20.2,19.7,19.9,0.2,0.2,0.2,7.7,4.4,6.1,66.9,35.4,51.1,0.4,0.2,0.3,0.1,0.1,0.1,11.9,7.8,9.8,dynasty_draft,2021,RB
124,Kene Nwangwu,MIN,23.0,9.6,16.3,91.0,40.5,65.7,0.3,0.0,0.2,3.0,1.9,2.4,21.0,14.6,17.8,0.1,0.0,0.0,0.0,0.0,0.0,11.2,7.9,9.5,dynasty_draft,2021,RB
125,Khalil Herbert,CHI,9.7,9.7,9.7,40.3,40.3,40.3,0.3,0.3,0.3,2.8,2.8,2.8,22.0,22.0,22.0,0.1,0.1,0.1,0.1,0.1,0.1,8.3,8.3,8.3,dynasty_draft,2021,RB
126,Corey Clement,NYG,17.2,4.3,10.7,71.6,18.3,44.9,0.7,0.2,0.4,2.3,1.0,1.6,17.4,7.1,12.2,0.1,0.0,0.0,0.1,0.1,0.1,13.2,3.4,8.3,dynasty_draft,2021,RB
127,Alex Armah,NO,4.3,4.1,4.2,17.6,17.2,17.4,0.2,0.1,0.2,4.2,4.0,4.1,35.9,33.1,34.5,0.3,0.2,0.2,0.1,0.1,0.1,7.3,7.1,7.3,dynasty_draft,2021,RB
128,Andrew Beck,DEN,4.9,4.9,4.9,21.2,21.2,21.2,0.2,0.2,0.2,4.3,4.3,4.3,29.2,29.2,29.2,0.2,0.2,0.2,0.0,0.0,0.0,6.9,6.9,7.1,dynasty_draft,2021,RB
129,Gary Brightwell,NYG,20.0,4.1,12.0,88.0,16.8,52.4,0.2,0.0,0.1,3.0,0.0,1.5,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.6,6.8,dynasty_draft,2021,RB
130,Buddy Howell,HOU,4.0,4.0,4.0,17.3,17.3,17.3,0.2,0.2,0.2,4.1,4.1,4.1,29.3,29.3,29.3,0.2,0.2,0.2,0.0,0.0,0.0,6.4,6.4,6.7,dynasty_draft,2021,RB
131,Gabe Nabers,LAC,4.6,2.1,3.3,20.0,8.9,14.4,0.2,0.1,0.1,4.5,1.8,3.2,37.4,12.6,25.0,0.2,0.2,0.2,0.1,0.1,0.1,6.3,4.7,5.8,dynasty_draft,2021,RB
