,Unnamed: 0,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
228,228,RB,Tevin Coleman (15677187),Tevin Coleman,15677187.0,RB/FLEX,4000.0,SF@SEA 11/01/2020 04:25PM ET,SF,4.7
229,229,RB,Kyle Juszczyk (15677189),Kyle Juszczyk,15677189.0,RB/FLEX,4000.0,SF@SEA 11/01/2020 04:25PM ET,SF,4.56
230,230,TE,Eric Ebron (15677645),Eric Ebron,15677645.0,TE/FLEX,3900.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,8.08
231,231,WR,Marquez Valdes-Scantling (15677413),Marquez Valdes-Scantling,15677413.0,WR/FLEX,3800.0,MIN@GB 11/01/2020 01:00PM ET,GB,7.68
232,232,WR,Adam Humphries (15677415),Adam Humphries,15677415.0,WR/FLEX,3800.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,11.18
233,233,WR,Hunter Renfrow (15677411),Hunter Renfrow,15677411.0,WR/FLEX,3800.0,LV@CLE 11/01/2020 01:00PM ET,LV,9.22
234,234,WR,Donovan Peoples-Jones (15677417),Donovan Peoples-Jones,15677417.0,WR/FLEX,3800.0,LV@CLE 11/01/2020 01:00PM ET,CLE,3.65
235,235,TE,David Njoku (15677647),David Njoku,15677647.0,TE/FLEX,3800.0,LV@CLE 11/01/2020 01:00PM ET,CLE,6.82
236,236,DST,Rams  (15677807),Rams,15677807.0,DST,3800.0,LAR@MIA 11/01/2020 01:00PM ET,LAR,7.57
237,237,WR,Parris Campbell (15677419),Parris Campbell,15677419.0,WR/FLEX,3700.0,IND@DET 11/01/2020 01:00PM ET,IND,7.35
238,238,DST,Ravens  (15677808),Ravens,15677808.0,DST,3700.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,12.67
239,239,WR,Damiere Byrd (15677421),Damiere Byrd,15677421.0,WR/FLEX,3700.0,NE@BUF 11/01/2020 01:00PM ET,NE,6.88
240,240,TE,Gerald Everett (15677649),Gerald Everett,15677649.0,TE/FLEX,3700.0,LAR@MIA 11/01/2020 01:00PM ET,LAR,6.54
241,241,WR,KJ Hamler (15677425),KJ Hamler,15677425.0,WR/FLEX,3600.0,LAC@DEN 11/01/2020 04:05PM ET,DEN,4.98
242,242,WR,Jalen Guyton (15677429),Jalen Guyton,15677429.0,WR/FLEX,3600.0,LAC@DEN 11/01/2020 04:05PM ET,LAC,8.57
243,243,DST,Steelers  (15677809),Steelers,15677809.0,DST,3600.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,9.33
244,244,WR,Bryan Edwards (15677423),Bryan Edwards,15677423.0,WR/FLEX,3600.0,LV@CLE 11/01/2020 01:00PM ET,LV,4.97
245,245,WR,Breshad Perriman (15677427),Breshad Perriman,15677427.0,WR/FLEX,3600.0,NYJ@KC 11/01/2020 01:00PM ET,NYJ,5.7
246,246,TE,Greg Olsen (15677651),Greg Olsen,15677651.0,TE/FLEX,3600.0,SF@SEA 11/01/2020 04:25PM ET,SEA,6.47
247,247,TE,Trey Burton (15677653),Trey Burton,15677653.0,TE/FLEX,3500.0,IND@DET 11/01/2020 01:00PM ET,IND,11.27
248,248,WR,Darnell Mooney (15677437),Darnell Mooney,15677437.0,WR/FLEX,3500.0,NO@CHI 11/01/2020 04:25PM ET,CHI,7.19
249,249,WR,Gabriel Davis (15677433),Gabriel Davis,15677433.0,WR/FLEX,3500.0,NE@BUF 11/01/2020 01:00PM ET,BUF,6.79
250,250,WR,Jakobi Meyers (15677439),Jakobi Meyers,15677439.0,WR/FLEX,3500.0,NE@BUF 11/01/2020 01:00PM ET,NE,2.98
251,251,TE,Tyler Kroft (15677655),Tyler Kroft,15677655.0,TE/FLEX,3500.0,NE@BUF 11/01/2020 01:00PM ET,BUF,4.67
252,252,WR,Braxton Berrios (15677431),Braxton Berrios,15677431.0,WR/FLEX,3500.0,NYJ@KC 11/01/2020 01:00PM ET,NYJ,6.56
253,253,WR,Kendrick Bourne (15677435),Kendrick Bourne,15677435.0,WR/FLEX,3500.0,SF@SEA 11/01/2020 04:25PM ET,SF,7.16
254,254,TE,Mo Alie-Cox (15677657),Mo Alie-Cox,15677657.0,TE/FLEX,3400.0,IND@DET 11/01/2020 01:00PM ET,IND,9.08
255,255,TE,Kyle Rudolph (15677659),Kyle Rudolph,15677659.0,TE/FLEX,3400.0,MIN@GB 11/01/2020 01:00PM ET,MIN,4.72
256,256,WR,Marquez Callaway (15677443),Marquez Callaway,15677443.0,WR/FLEX,3400.0,NO@CHI 11/01/2020 04:25PM ET,NO,5.1
257,257,DST,Saints  (15677810),Saints,15677810.0,DST,3400.0,NO@CHI 11/01/2020 04:25PM ET,NO,4.33
258,258,WR,Willie Snead IV (15677445),Willie Snead,15677445.0,WR/FLEX,3400.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,5.32
259,259,TE,Drew Sample (15677661),Drew Sample,15677661.0,TE/FLEX,3400.0,TEN@CIN 11/01/2020 01:00PM ET,CIN,5.2
260,260,WR,N'Keal Harry (15677441),N'Keal Harry,15677441.0,WR/FLEX,3400.0,NE@BUF 11/01/2020 01:00PM ET,NE,6.9
261,261,WR,Danny Amendola (15677449),Danny Amendola,15677449.0,WR/FLEX,3300.0,IND@DET 11/01/2020 01:00PM ET,DET,7.0
262,262,TE,Jack Doyle (15677663),Jack Doyle,15677663.0,TE/FLEX,3300.0,IND@DET 11/01/2020 01:00PM ET,IND,4.2
263,263,WR,Deonte Harris (15677447),Deonte Harris,15677447.0,WR/FLEX,3300.0,NO@CHI 11/01/2020 04:25PM ET,NO,6.02
264,264,DST,Bills  (15677811),Bills,15677811.0,DST,3300.0,NE@BUF 11/01/2020 01:00PM ET,BUF,4.86
265,265,WR,Jeff Smith (15677451),Jeff Smith,15677451.0,WR/FLEX,3300.0,NYJ@KC 11/01/2020 01:00PM ET,NYJ,5.55
266,266,WR,Cordarrelle Patterson (15677453),Cordarrelle Patterson,15677453.0,WR/FLEX,3200.0,NO@CHI 11/01/2020 04:25PM ET,CHI,3.69
